pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774801796751974000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,40,,,,467541.0,,,,,,0,0.1.1,467.541
1774801798060419000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,41,,,,15458.0,,,,,,0,0.1.1,15.458
1774801800169292000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,42,,,,13831.0,,,,,,0,0.1.1,13.831
1774801802253632000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,43,,,,15760.0,,,,,,0,0.1.1,15.76
1774801804489628000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,44,,,,16358.0,,,,,,0,0.1.1,16.358
1774801806376431000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,45,,,,14007.0,,,,,,0,0.1.1,14.007
1774801808461786000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,46,,,,12834.0,,,,,,0,0.1.1,12.834
1774801811522066000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,47,,,,718296.0,,,,,,0,0.1.1,718.296
1774801813141051000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,48,,,,17795.0,,,,,,0,0.1.1,17.795
1774801815054434000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,49,,,,30987.0,,,,,,0,0.1.1,30.987
1774801817013610000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,50,,,,14164.0,,,,,,0,0.1.1,14.164
1774801819155312000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,51,,,,14473.0,,,,,,0,0.1.1,14.473
1774801821092719000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,52,,,,12538.0,,,,,,0,0.1.1,12.538
1774801823383936000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,53,,,,14508.0,,,,,,0,0.1.1,14.508
1774801825132054000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,54,,,,14639.0,,,,,,0,0.1.1,14.639
1774801827750984000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,55,,,,12966.0,,,,,,0,0.1.1,12.966
1774801829793082000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,56,,,,12041.0,,,,,,0,0.1.1,12.041
1774801832705585000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,57,,,,441381.0,,,,,,0,0.1.1,441.381
