pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774807511954624000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,45,,,,17442.0,,,,,,0,0.1.1,17.442
1774807520908815000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,47,,,,14584.0,,,,,,0,0.1.1,14.584
1774807525611665000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,48,,,,13378.0,,,,,,0,0.1.1,13.378
1774807530804651000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,49,,,,13903.0,,,,,,0,0.1.1,13.903
1774807536022305000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,50,,,,14138.0,,,,,,0,0.1.1,14.138
1774807541311105000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,51,,,,20487.0,,,,,,0,0.1.1,20.487
1774807545791433000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,52,,,,19075.0,,,,,,0,0.1.1,19.075
1774807556884167000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,54,,,,19766.0,,,,,,0,0.1.1,19.766
1774807557125226000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,55,,,,11901.0,,,,,,0,0.1.1,11.901
1774807562272502000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,56,,,,13209.0,,,,,,0,0.1.1,13.209
1774807566011725000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,57,,,,16199.0,,,,,,0,0.1.1,16.199
1774807575554026000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,59,,,,179389.0,,,,,,0,0.1.1,179.389
1774807579915697000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,60,,,,13420.0,,,,,,0,0.1.1,13.42
1774807592649753000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,62,,,,14322.0,,,,,,0,0.1.1,14.322
1774807599651535000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,63,,,,29835.0,,,,,,0,0.1.1,29.835
1774807610831066000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,65,,,,13027.0,,,,,,0,0.1.1,13.027
1774807622805259000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,67,,,,15579.0,,,,,,0,0.1.1,15.579
1774807628014650000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,68,,,,16900.0,,,,,,0,0.1.1,16.9
1774807634653792000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,69,,,,17712.0,,,,,,0,0.1.1,17.712
1774807645852033000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,71,,,,12083.0,,,,,,0,0.1.1,12.083
1774807654118826000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,72,,,,11215.0,,,,,,0,0.1.1,11.215
1774807666672736000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,74,,,,15087.0,,,,,,0,0.1.1,15.087
1774807683387422000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,76,,,,13198.0,,,,,,0,0.1.1,13.198
1774807693263097000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,77,,,,18225.0,,,,,,0,0.1.1,18.225
1774807708008804000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,79,,,,15871.0,,,,,,0,0.1.1,15.871
1774807715432658000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,80,,,,12771.0,,,,,,0,0.1.1,12.771
1774807728000311000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,82,,,,12375.0,,,,,,0,0.1.1,12.375
1774807735603694000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,83,,,,38380.0,,,,,,0,0.1.1,38.38
1774807742991935000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,84,,,,21508.0,,,,,,0,0.1.1,21.508
1774807756447237000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,86,,,,29900.0,,,,,,0,0.1.1,29.9
1774807772505845000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,89,,,,157529.0,,,,,,0,0.1.1,157.529
1774807804787401000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,92,,,,17545.0,,,,,,0,0.1.1,17.545
1774807811726232000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,93,,,,48067.0,,,,,,0,0.1.1,48.067
1774807820165619000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,94,,,,15241.0,,,,,,0,0.1.1,15.241
1774807824838344000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,95,,,,17495.0,,,,,,0,0.1.1,17.495
1774807830528655000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,96,,,,14415.0,,,,,,0,0.1.1,14.415
1774807835130236000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,97,,,,195799.0,,,,,,0,0.1.1,195.799
1774807840193787000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,98,,,,22369.0,,,,,,0,0.1.1,22.369
1774807851392558000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,100,,,,13044.0,,,,,,0,0.1.1,13.044
