pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774808479885453000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,1,,,,22356.0,,,,,,0,0.1.1,22.356
1774808486165870000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,12109.0,,,,,,0,0.1.1,12.109
1774808492377142000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,38452.0,,,,,,0,0.1.1,38.452
1774808498854833000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,12216.0,,,,,,0,0.1.1,12.216
1774808504427862000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,54763.0,,,,,,0,0.1.1,54.763
1774808509470523000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,6,,,,18174.0,,,,,,0,0.1.1,18.174
1774808513331541000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,13043.0,,,,,,0,0.1.1,13.043
1774808518991807000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,8,,,,30366.0,,,,,,0,0.1.1,30.366
1774808531875372000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,10,,,,13368.0,,,,,,0,0.1.1,13.368
1774808539442573000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,11,,,,59017.0,,,,,,0,0.1.1,59.017
1774808547516008000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,12,,,,19561.0,,,,,,0,0.1.1,19.561
1774808560624835000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,14,,,,14376.0,,,,,,0,0.1.1,14.376
