pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774808743145033000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,41,button,434145873.0,-29.0,,,,,,,0,0.1.1
1774808749560004000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,42,button,440567188.0,-34.0,,,,,,,0,0.1.1
1774808755505465000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,43,button,446453754.0,-37.0,,,,,,,0,0.1.1
1774808763596379000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,44,button,454558134.0,-34.0,,,,,,,0,0.1.1
1774808770419073000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,45,button,461423859.0,-36.0,,,,,,,0,0.1.1
1774808778093245000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,46,button,469065396.0,-35.0,,,,,,,0,0.1.1
1774808784997246000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,47,button,475962833.0,-37.0,,,,,,,0,0.1.1
1774808789025707000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,48,button,480016754.0,-36.0,,,,,,,0,0.1.1
1774808793088025000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,49,button,484043030.0,-38.0,,,,,,,0,0.1.1
1774808798445698000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,50,button,489450153.0,-34.0,,,,,,,0,0.1.1
1774808805376249000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,51,button,496363512.0,-42.0,,,,,,,0,0.1.1
1774808811908294000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,52,button,502895413.0,-36.0,,,,,,,0,0.1.1
1774808820035324000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,53,button,510867911.0,-35.0,,,,,,,0,0.1.1
1774808825139136000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,54,button,516033077.0,-35.0,,,,,,,0,0.1.1
1774808830370332000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,55,button,521215262.0,-33.0,,,,,,,0,0.1.1
1774808835584623000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,56,button,526391398.0,-34.0,,,,,,,0,0.1.1
1774808842112627000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,57,button,533119576.0,-34.0,,,,,,,0,0.1.1
1774808847869403000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,58,button,538870401.0,-31.0,,,,,,,0,0.1.1
1774808853585952000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,59,button,544505007.0,-35.0,,,,,,,0,0.1.1
1774808860293829000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,60,button,551297555.0,-36.0,,,,,,,0,0.1.1
1774808867123488000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,61,button,557967664.0,-36.0,,,,,,,0,0.1.1
1774808871430729000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,62,button,562433342.0,-34.0,,,,,,,0,0.1.1
1774808874936972000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,63,button,565941406.0,-43.0,,,,,,,0,0.1.1
1774808880947081000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,64,button,571930465.0,-33.0,,,,,,,0,0.1.1
1774808886577215000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,65,button,577376945.0,-35.0,,,,,,,0,0.1.1
1774808893300991000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,66,button,584305428.0,-43.0,,,,,,,0,0.1.1
1774808897236877000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,67,button,588230963.0,-48.0,,,,,,,0,0.1.1
1774808901637653000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,68,button,592406572.0,-43.0,,,,,,,0,0.1.1
1774808907162101000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,69,button,598110239.0,-39.0,,,,,,,0,0.1.1
1774808911945503000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,70,button,602951497.0,-42.0,,,,,,,0,0.1.1
1774808917129531000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,71,button,608124914.0,-41.0,,,,,,,0,0.1.1
1774808924055476000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,72,button,615007678.0,-41.0,,,,,,,0,0.1.1
1774808929510870000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,73,button,620513873.0,-41.0,,,,,,,0,0.1.1
1774808933784540000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,74,button,624584380.0,-37.0,,,,,,,0,0.1.1
1774808939647161000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,75,button,630629833.0,-42.0,,,,,,,0,0.1.1
1774808944641691000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,76,button,635587284.0,-44.0,,,,,,,0,0.1.1
1774808949831264000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,77,button,640832813.0,-42.0,,,,,,,0,0.1.1
