pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776142552941549000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,30563523,5.045,63.80457,320,-27,0,0.2.1
1776142553043046000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,30663551,5.04625,63.80457,320,-28,0,0.2.1
1776142553341821000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,30963518,5.04375,63.80457,320,-27,0,0.2.1
1776142554045672000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,31663465,5.045,63.80457,320,-27,0,0.2.1
1776142554248570000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,31863520,5.0475,63.80457,320,-28,0,0.2.1
1776142554941330000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,32563506,5.045,63.80457,320,-28,0,0.2.1
1776142555041458000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,32663563,5.04375,63.80457,320,-28,0,0.2.1
1776142555641274000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,33263465,5.04375,63.80457,320,-28,0,0.2.1
1776142555943990000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,33563523,5.045,63.60916,320,-27,0,0.2.1
1776142556042134000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,33663512,5.045,63.80457,320,-27,0,0.2.1
1776142556741436000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,34363474,4.99625,63.80457,320,-28,0,0.2.1
1776142557041458000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,34663465,5.04375,63.80457,320,-28,0,0.2.1
