pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1776143135290980000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,250,periodic,250863924,-36,,,,,,,0,0.2.1
1776143136294725000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,251,periodic,251863891,-30,,,,,,,0,0.2.1
1776143137291278000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,252,periodic,252863913,-30,,,,,,,0,0.2.1
1776143138291001000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,253,periodic,253863898,-30,,,,,,,0,0.2.1
1776143139291083000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,254,periodic,254863914,-30,,,,,,,0,0.2.1
1776143140290978000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,255,periodic,255863930,-30,,,,,,,0,0.2.1
1776143141291288000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,256,periodic,256864126,-30,,,,,,,0,0.2.1
1776143142292645000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,257,periodic,257863898,-37,,,,,,,0,0.2.1
1776143143291062000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,258,periodic,258863928,-30,,,,,,,0,0.2.1
1776143144291332000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,259,periodic,259863972,-37,,,,,,,0,0.2.1
1776143145291146000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_1s_quiet_v1,260,periodic,260863893,-37,,,,,,,0,0.2.1
