command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
65,off,191399,1777551763007600000,2026-04-30T15:22:48.236+03:00,200,,0.4.3
66,on,194470,1777551768236976000,2026-04-30T15:22:48.329+03:00,200,,0.4.3
67,off,197464,1777551769071469000,2026-04-30T15:22:54.302+03:00,200,,0.4.3
68,on,200558,1777551774303321000,2026-04-30T15:22:54.389+03:00,200,,0.4.3
69,off,203543,1777551775148921000,2026-04-30T15:23:00.424+03:00,200,,0.4.3
70,on,206602,1777551780425037000,2026-04-30T15:23:00.510+03:00,200,,0.4.3
71,off,209525,1777551781132285000,2026-04-30T15:23:06.478+03:00,200,,0.4.3
72,on,212527,1777551786480036000,2026-04-30T15:23:06.560+03:00,200,,0.4.3
73,off,215751,1777551787359128000,2026-04-30T15:23:17.350+03:00,200,,0.4.3
74,on,218727,1777551797351905000,2026-04-30T15:23:17.436+03:00,200,,0.4.3
75,off,221679,1777551797436611000,2026-04-30T15:23:17.519+03:00,200,,0.4.3
76,on,224664,1777551797519953000,2026-04-30T15:23:27.524+03:00,,timed out,0.4.3
