command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
74,off,220177,1777807776328552000,2026-05-03T14:29:36.408+03:00,200,,0.4.7
75,on,223111,1777807779264049000,2026-05-03T14:29:39.344+03:00,200,,0.4.7
76,off,226361,1777807782514562000,2026-05-03T14:29:42.596+03:00,200,,0.4.7
77,on,229448,1777807785603080000,2026-05-03T14:29:45.698+03:00,200,,0.4.7
78,off,232490,1777807788644100000,2026-05-03T14:29:48.751+03:00,200,,0.4.7
79,on,235379,1777807791533180000,2026-05-03T14:29:51.613+03:00,200,,0.4.7
80,off,238480,1777807794635074000,2026-05-03T14:29:54.709+03:00,200,,0.4.7
81,on,241352,1777807797506849000,2026-05-03T14:29:57.593+03:00,200,,0.4.7
82,off,244449,1777807800600501000,2026-05-03T14:30:00.678+03:00,200,,0.4.7
83,on,247214,1777807803369041000,2026-05-03T14:30:03.451+03:00,200,,0.4.7
84,off,250363,1777807806518041000,2026-05-03T14:30:06.599+03:00,200,,0.4.7
85,on,253376,1777807809529790000,2026-05-03T14:30:09.635+03:00,200,,0.4.7
86,off,256126,1777807812280981000,2026-05-03T14:30:12.366+03:00,200,,0.4.7
87,on,258924,1777807815077434000,2026-05-03T14:30:15.160+03:00,200,,0.4.7
88,off,262157,1777807818307172000,2026-05-03T14:30:18.382+03:00,200,,0.4.7
89,on,265153,1777807821306213000,2026-05-03T14:30:21.421+03:00,200,,0.4.7
90,off,268165,1777807824320004000,2026-05-03T14:30:24.401+03:00,200,,0.4.7
91,on,271005,1777807827158694000,2026-05-03T14:30:27.238+03:00,200,,0.4.7
92,off,273988,1777807830143003000,2026-05-03T14:30:30.224+03:00,200,,0.4.7
93,on,276972,1777807833126962000,2026-05-03T14:30:33.213+03:00,200,,0.4.7
94,off,280140,1777807836293841000,2026-05-03T14:30:36.380+03:00,200,,0.4.7
95,on,283340,1777807839493829000,2026-05-03T14:30:39.572+03:00,200,,0.4.7
96,off,286267,1777807842421958000,2026-05-03T14:30:42.508+03:00,200,,0.4.7
97,on,289302,1777807845456962000,2026-05-03T14:30:45.538+03:00,200,,0.4.7
98,off,292317,1777807848471551000,2026-05-03T14:30:53.716+03:00,200,,0.4.7
99,on,295402,1777807853717067000,2026-05-03T14:30:53.805+03:00,200,,0.4.7
100,off,298328,1777807854482934000,2026-05-03T14:30:54.570+03:00,200,,0.4.7
