type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,354228147,-35
event,2,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,355217068,-34
event,3,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,356217083,-37
event,4,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,357217110,-40
event,5,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,358217051,-37
event,6,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,359217095,-32
event,7,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,360217053,-37
event,8,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,361217100,-38
event,9,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,362217096,-32
event,10,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,363217054,-36
event,11,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,364217077,-36
event,12,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,365217052,-37
event,13,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,366217091,-37
event,14,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,367217034,-36
event,15,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,368217074,-36
event,16,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,369217049,-36
event,17,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,370217052,-38
event,18,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,371217041,-37
event,19,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,372217048,-37
event,20,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,373217089,-36
event,21,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,374217087,-36
event,22,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,375217138,-35
event,23,W2_wifi_periodic_1s_quiet_telemetry_v2_rep10,periodic,376217087,-37
