command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
74,off,219088,1777564831763239000,2026-04-30T19:00:31.857+03:00,200,,0.4.5
75,on,222273,1777564834948236000,2026-04-30T19:00:35.040+03:00,200,,0.4.5
76,off,225123,1777564837796934000,2026-04-30T19:00:37.890+03:00,200,,0.4.5
77,on,228304,1777564840977114000,2026-04-30T19:00:41.063+03:00,200,,0.4.5
78,off,231412,1777564844085408000,2026-04-30T19:00:44.181+03:00,200,,0.4.5
79,on,234166,1777564846838048000,2026-04-30T19:00:46.929+03:00,200,,0.4.5
80,off,236919,1777564849594196000,2026-04-30T19:00:49.689+03:00,200,,0.4.5
81,on,239840,1777564852515183000,2026-04-30T19:00:52.629+03:00,200,,0.4.5
82,off,243062,1777564855732324000,2026-04-30T19:00:55.813+03:00,200,,0.4.5
83,on,246209,1777564858883422000,2026-04-30T19:00:58.975+03:00,200,,0.4.5
84,off,249294,1777564861968663000,2026-04-30T19:01:02.089+03:00,200,,0.4.5
85,on,252391,1777564865066194000,2026-04-30T19:01:05.175+03:00,200,,0.4.5
86,off,255535,1777564868206055000,2026-04-30T19:01:08.306+03:00,200,,0.4.5
87,on,258360,1777564871035167000,2026-04-30T19:01:11.117+03:00,200,,0.4.5
88,off,261438,1777564874113148000,2026-04-30T19:01:14.198+03:00,200,,0.4.5
89,on,264404,1777564877079145000,2026-04-30T19:01:17.161+03:00,200,,0.4.5
90,off,267213,1777564879887127000,2026-04-30T19:01:19.971+03:00,200,,0.4.5
91,on,270324,1777564882994940000,2026-04-30T19:01:23.103+03:00,200,,0.4.5
92,off,273140,1777564885815130000,2026-04-30T19:01:25.906+03:00,200,,0.4.5
93,on,276277,1777564888948620000,2026-04-30T19:01:29.035+03:00,200,,0.4.5
94,off,279464,1777564892135206000,2026-04-30T19:01:32.228+03:00,200,,0.4.5
95,on,282348,1777564895018402000,2026-04-30T19:01:35.103+03:00,200,,0.4.5
96,off,285247,1777564897921196000,2026-04-30T19:01:38.007+03:00,200,,0.4.5
97,on,288144,1777564900816253000,2026-04-30T19:01:40.907+03:00,200,,0.4.5
98,off,290940,1777564903615118000,2026-04-30T19:01:43.717+03:00,200,,0.4.5
99,on,294055,1777564906730106000,2026-04-30T19:01:46.831+03:00,200,,0.4.5
100,off,297004,1777564909675828000,2026-04-30T19:01:49.769+03:00,200,,0.4.5
