pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774940906091250000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,40,,,,10548.0,,,,,,0,0.1.1,10.548
1774940908779507000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,41,,,,10484.0,,,,,,0,0.1.1,10.484
1774940911546588000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,42,,,,10232.0,,,,,,0,0.1.1,10.232
1774940914049944000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,43,,,,10084.0,,,,,,0,0.1.1,10.084
1774940916831234000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,44,,,,10529.0,,,,,,0,0.1.1,10.529
1774940919652178000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,45,,,,9640.0,,,,,,0,0.1.1,9.64
1774940922041221000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,46,,,,9639.0,,,,,,0,0.1.1,9.639
1774940924285999000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,47,,,,11535.0,,,,,,0,0.1.1,11.535
1774940926881515000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,48,,,,10540.0,,,,,,0,0.1.1,10.54
1774940930126597000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,49,,,,11872.0,,,,,,0,0.1.1,11.872
1774940933091428000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,50,,,,10530.0,,,,,,0,0.1.1,10.53
1774940935817017000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,51,,,,12228.0,,,,,,0,0.1.1,12.228
1774940938403668000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,52,,,,11008.0,,,,,,0,0.1.1,11.008
1774940941110646000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,53,,,,12587.0,,,,,,0,0.1.1,12.587
1774940943666400000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,54,,,,9921.0,,,,,,0,0.1.1,9.921
1774940946417312000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,55,,,,10253.0,,,,,,0,0.1.1,10.253
1774940948835351000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,56,,,,10165.0,,,,,,0,0.1.1,10.165
1774940951483195000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,57,,,,15843.0,,,,,,0,0.1.1,15.843
1774940954055356000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,58,,,,10273.0,,,,,,0,0.1.1,10.273
1774940956257526000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,59,,,,10659.0,,,,,,0,0.1.1,10.659
1774940958283016000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,60,,,,13817.0,,,,,,0,0.1.1,13.817
1774940960633580000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,61,,,,10905.0,,,,,,0,0.1.1,10.905
1774940962951793000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,62,,,,9730.0,,,,,,0,0.1.1,9.73
1774940964997000000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,63,,,,10531.0,,,,,,0,0.1.1,10.531
1774940967125756000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,64,,,,9461.0,,,,,,0,0.1.1,9.461
1774940969429705000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,65,,,,11576.0,,,,,,0,0.1.1,11.576
1774940971723955000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,66,,,,10530.0,,,,,,0,0.1.1,10.53
1774940974399810000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,67,,,,9535.0,,,,,,0,0.1.1,9.535
1774940977195523000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,68,,,,12921.0,,,,,,0,0.1.1,12.921
1774940979756872000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,69,,,,13410.0,,,,,,0,0.1.1,13.41
1774940982521008000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,70,,,,17548.0,,,,,,0,0.1.1,17.548
1774940985111872000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,71,,,,11926.0,,,,,,0,0.1.1,11.926
1774940987835094000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,72,,,,14784.0,,,,,,0,0.1.1,14.784
1774940990874947000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,73,,,,10569.0,,,,,,0,0.1.1,10.569
1774940993442131000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,74,,,,9920.0,,,,,,0,0.1.1,9.92
1774940995818861000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,75,,,,13114.0,,,,,,0,0.1.1,13.114
1774940998291943000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,76,,,,10408.0,,,,,,0,0.1.1,10.408
1774941000748011000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,77,,,,16603.0,,,,,,0,0.1.1,16.603
1774941003225113000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,78,,,,11482.0,,,,,,0,0.1.1,11.482
1774941006210965000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,79,,,,10183.0,,,,,,0,0.1.1,10.183
