pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774940906082615000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,40,button,1109370651.0,-45.0,,,,,,,0,0.1.1
1774940908762406000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,41,button,1112050791.0,-39.0,,,,,,,0,0.1.1
1774940911535434000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,42,button,1114823994.0,-45.0,,,,,,,0,0.1.1
1774940914040721000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,43,button,1117329365.0,-45.0,,,,,,,0,0.1.1
1774940916822339000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,44,button,1120110669.0,-39.0,,,,,,,0,0.1.1
1774940919644033000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,45,button,1122932560.0,-39.0,,,,,,,0,0.1.1
1774940922032851000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,46,button,1125321560.0,-39.0,,,,,,,0,0.1.1
1774940924275090000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,47,button,1127563665.0,-39.0,,,,,,,0,0.1.1
1774940926872049000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,48,button,1130160659.0,-41.0,,,,,,,0,0.1.1
1774940930117508000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,49,button,1133404328.0,-46.0,,,,,,,0,0.1.1
1774940933082101000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,50,button,1136370669.0,-39.0,,,,,,,0,0.1.1
1774940935801417000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,51,button,1139090034.0,-45.0,,,,,,,0,0.1.1
1774940938393718000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,52,button,1141682191.0,-42.0,,,,,,,0,0.1.1
1774940941099401000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,53,button,1144387613.0,-39.0,,,,,,,0,0.1.1
1774940943657866000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,54,button,1146946278.0,-39.0,,,,,,,0,0.1.1
1774940946408574000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,55,button,1149696947.0,-39.0,,,,,,,0,0.1.1
1774940948826876000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,56,button,1152115034.0,-47.0,,,,,,,0,0.1.1
