type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1953416943,4.933750,12.812500,151.938934,757.251892,-39,0,0,-1
power_sample,2,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1953516518,5.012500,13.342500,143.926712,720.610657,-39,1,1953440279,76239
power_sample,3,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1953616456,5.208750,5.487500,64.781670,337.099213,-40,1,1953440279,176177
power_sample,4,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1953716533,5.193750,6.425000,64.781670,327.328247,-39,1,1953440279,276254
power_sample,5,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1953816453,5.206250,5.017500,64.781670,337.099213,-38,1,1953440279,376174
power_sample,6,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1953916486,5.193750,5.145000,64.781670,337.099213,-40,1,1953440279,476207
power_sample,7,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954016458,5.185000,5.925000,64.781670,337.099213,-40,1,1953440279,576179
power_sample,8,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954116435,5.202500,5.065000,64.781670,337.099213,-39,1,1953440279,676156
power_sample,9,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954216453,5.200000,5.135000,64.781670,337.099213,-38,1,1953440279,776174
power_sample,10,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954316453,5.191250,5.710000,64.683968,337.099213,-39,1,1953440279,876174
power_sample,11,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954416487,5.175000,6.482500,117.056480,339.541962,-39,1,1953440279,976208
power_sample,12,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954516463,5.197500,5.117500,65.954193,344.427460,-40,1,1953440279,1076184
power_sample,13,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954616435,5.192500,5.260000,64.586258,337.099213,-38,1,1953440279,1176156
power_sample,14,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954716435,5.138750,13.772500,64.781670,691.297729,-39,1,1953440279,1276156
power_sample,15,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954816510,5.201250,4.985000,64.781670,337.099213,-39,1,1953440279,1376231
power_sample,16,W2_wifi_periodic_2s_quiet_telemetry_v2_rep8,1954916435,5.193750,5.097500,64.781670,337.099213,-40,1,1953440279,1476156
