pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pi_time_s,ha_time_s,raw_delay_ms,norm_delay_ms,pipeline_version
1774617370668381000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:16:10.696332+02:00,01KMQQ08096SDAXXC1M40601FE,01KMQQ08096SDAXXC1M40601FE,0,1774617370.668381,1774617370.696332,-27.95100212097168,1.9268989562988281,0.1.1
1774617633844238000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:33.837540+02:00,01KMQQ88ZF4PY6AVN79S26RQE3,01KMQQ88ZF4PY6AVN79S26RQE3,0,1774617633.844238,1774617633.83754,6.698131561279297,36.576032638549805,0.1.1
1774617636565441000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:20:36.598103+02:00,01KMQQ8BNW88DHZK6WV8Y31BYN,01KMQQ8BNW88DHZK6WV8Y31BYN,0,1774617636.5654411,1774617636.598103,-32.66191482543945,-2.7840137481689453,0.1.1
1774617640640003000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:40.673218+02:00,01KMQQ8FN714CPRM7DDD4MA4MN,01KMQQ8FN714CPRM7DDD4MA4MN,0,1774617640.640003,1774617640.673218,-33.21504592895508,-3.3371448516845703,0.1.1
1774617645064608000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:20:45.064928+02:00,01KMQQ8KYGSD9DCZBNEEQN7CDG,01KMQQ8KYGSD9DCZBNEEQN7CDG,0,1774617645.064608,1774617645.064928,-0.3199577331542969,29.55794334411621,0.1.1
1774617650184394000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:50.206740+02:00,01KMQQ8RZ404BSJ0EN3Z182KWT,01KMQQ8RZ404BSJ0EN3Z182KWT,0,1774617650.184394,1774617650.20674,-22.346019744873047,7.531881332397461,0.1.1
1774617654855948000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:20:54.878676+02:00,01KMQQ8XH3QXRWT4G6P5XFFGKQ,01KMQQ8XH3QXRWT4G6P5XFFGKQ,0,1774617654.855948,1774617654.878676,-22.72796630859375,7.149934768676758,0.1.1
1774617658973616000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:20:58.997654+02:00,01KMQQ91HWVD43JARE60WA2VKN,01KMQQ91HWVD43JARE60WA2VKN,0,1774617658.9736161,1774617658.997654,-24.037837982177734,5.840063095092773,0.1.1
1774617662936990000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:02.969817+02:00,01KMQQ95DNCCV6HRT26PQ4SY3T,01KMQQ95DNCCV6HRT26PQ4SY3T,0,1774617662.93699,1774617662.969817,-32.826900482177734,-2.9489994049072266,0.1.1
1774617666723074000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:06.757927+02:00,01KMQQ99420C8KBQY39WDBK5G0,01KMQQ99420C8KBQY39WDBK5G0,0,1774617666.723074,1774617666.757927,-34.85298156738281,-4.975080490112305,0.1.1
1774617670595963000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:10.604488+02:00,01KMQQ9CWM6K7Z503NHMW68VNZ,01KMQQ9CWM6K7Z503NHMW68VNZ,0,1774617670.5959628,1774617670.604488,-8.52513313293457,21.352767944335938,0.1.1
1774617674512615000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:14.547178+02:00,01KMQQ9GQJ40J07JAK9G24QT24,01KMQQ9GQJ40J07JAK9G24QT24,0,1774617674.512615,1774617674.547178,-34.56306457519531,-4.685163497924805,0.1.1
1774617678387756000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:18.423763+02:00,01KMQQ9MGYSNRNE48TE38DS2R0,01KMQQ9MGYSNRNE48TE38DS2R0,0,1774617678.387756,1774617678.423763,-36.006927490234375,-6.129026412963867,0.1.1
1774617682218623000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:22.250949+02:00,01KMQQ9R8FE2GXQ3HM4B5A9BF2,01KMQQ9R8FE2GXQ3HM4B5A9BF2,0,1774617682.218623,1774617682.250949,-32.32598304748535,-2.4480819702148438,0.1.1
1774617685872201000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:25.899559+02:00,01KMQQ9VTGZDXQ6BC6Y0B8ZQ1J,01KMQQ9VTGZDXQ6BC6Y0B8ZQ1J,0,1774617685.872201,1774617685.899559,-27.358055114746094,2.519845962524414,0.1.1
1774617689310306000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:29.258579+02:00,01KMQQ9Z3D2V4EM2QR9YHJ7Z4F,01KMQQ9Z3D2V4EM2QR9YHJ7Z4F,0,1774617689.310306,1774617689.258579,51.7270565032959,81.6049575805664,0.1.1
1774617692788299000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:32.819227+02:00,01KMQQA2JRAY0W2K4BZSTCKQ8T,01KMQQA2JRAY0W2K4BZSTCKQ8T,0,1774617692.788299,1774617692.819227,-30.92789649963379,-1.0499954223632812,0.1.1
1774617696369929000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:36.362805+02:00,01KMQQA61FKWFXPX3GDC790JPF,01KMQQA61FKWFXPX3GDC790JPF,0,1774617696.369929,1774617696.362805,7.124185562133789,37.0020866394043,0.1.1
1774617699861077000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:39.892146+02:00,01KMQQA9FVJDZCYMFJPEX1PA2D,01KMQQA9FVJDZCYMFJPEX1PA2D,0,1774617699.861077,1774617699.892146,-31.069040298461914,-1.1911392211914062,0.1.1
1774617703709932000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:21:43.730534+02:00,01KMQQAD7R2JK66PDKBQZTPY3Q,01KMQQAD7R2JK66PDKBQZTPY3Q,0,1774617703.709932,1774617703.730534,-20.601987838745117,9.27591323852539,0.1.1
1774617707535215000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:21:47.568216+02:00,01KMQQAGZPHK38CGC9C9D2N6ZN,01KMQQAGZPHK38CGC9C9D2N6ZN,0,1774617707.5352151,1774617707.568216,-33.000946044921875,-3.123044967651367,0.1.1
