type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,677665230,-34
event,2,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,678654080,-42
event,3,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,679654118,-34
event,4,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,680654117,-36
event,5,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,681654119,-42
event,6,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,682654141,-41
event,7,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,683653711,-37
event,8,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,684653701,-38
event,9,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,685653663,-41
event,10,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,686654074,-36
event,11,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,687654083,-39
event,12,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,688654071,-41
event,13,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,689654113,-39
event,14,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,690654111,-43
event,15,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,691654129,-35
event,16,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,692654659,-38
event,17,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,693654112,-42
event,18,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,694654136,-40
event,19,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,695654080,-39
event,20,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,696654061,-40
event,21,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,697654049,-38
event,22,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,698654060,-41
event,23,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,699654093,-33
event,24,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,700654044,-38
event,25,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,701654065,-41
event,26,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,702654047,-34
event,27,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,703654068,-35
event,28,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,704654085,-34
event,29,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,705654050,-43
event,30,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,706654132,-35
event,31,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,707654044,-37
event,32,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,708654088,-36
event,33,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,709654110,-35
event,34,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,710654047,-42
event,35,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,711654074,-39
event,36,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,712654067,-42
event,37,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,713654050,-39
event,38,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,714654085,-35
event,39,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,715654086,-38
event,40,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,716654060,-32
event,41,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,717654063,-44
event,42,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,718654036,-38
event,43,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,719654114,-40
event,44,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,720654046,-34
event,45,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,721654050,-41
event,46,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,722654038,-41
event,47,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,723654050,-36
event,48,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,724654033,-36
event,49,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,725654083,-34
event,50,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,726654120,-33
event,51,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,727654110,-39
event,52,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,728654062,-43
event,53,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,729654052,-42
event,54,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,730653883,-36
event,55,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,731653643,-43
event,56,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,732653679,-35
event,57,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,733653708,-33
event,58,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,734654065,-32
event,59,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,735654111,-39
event,60,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,736654061,-44
event,61,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,737654103,-44
event,62,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,738654079,-42
event,63,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,739654087,-35
event,64,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,740654046,-34
event,65,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,741654118,-41
event,66,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,742654114,-33
event,67,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,743654057,-44
event,68,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,744654038,-35
event,69,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,745654101,-33
event,70,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,746654045,-38
event,71,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,747654081,-39
event,72,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,748654107,-43
event,73,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,749654048,-39
event,74,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,750654106,-42
event,75,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,751654069,-34
event,76,W2_wifi_periodic_1s_quiet_telemetry_v2_rep2,periodic,752654070,-39
