pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777135101590065000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,16,auto,50185071,-26,,,,,,,0,0.4.0
1777135101605446000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,16,,,,11942,,,,,,0,0.4.0
1777135104657061000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,17,auto,53252009,-27,,,,,,,0,0.4.0
1777135104668826000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,17,,,,12003,,,,,,0,0.4.0
1777135107540007000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,18,auto,56135009,-26,,,,,,,0,0.4.0
1777135107553745000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,18,,,,13269,,,,,,0,0.4.0
1777135110313244000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,19,auto,58908052,-26,,,,,,,0,0.4.0
1777135110330765000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,19,,,,11961,,,,,,0,0.4.0
1777135113541513000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,20,auto,62135071,-26,,,,,,,0,0.4.0
1777135113553841000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,20,,,,13946,,,,,,0,0.4.0
1777135116523504000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,21,auto,65118062,-26,,,,,,,0,0.4.0
1777135116540804000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,21,,,,15048,,,,,,0,0.4.0
1777135119475516000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,22,auto,68066057,-26,,,,,,,0,0.4.0
1777135119488084000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,22,,,,16960,,,,,,0,0.4.0
1777135122552312000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,23,auto,71147015,-26,,,,,,,0,0.4.0
1777135122565921000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,23,,,,13998,,,,,,0,0.4.0
1777135125421370000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,24,auto,74016086,-26,,,,,,,0,0.4.0
1777135125433089000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,24,,,,11931,,,,,,0,0.4.0
1777135128295174000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,25,auto,76887030,-27,,,,,,,0,0.4.0
1777135128307272000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,25,,,,14983,,,,,,0,0.4.0
1777135131087485000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,26,auto,79682062,-26,,,,,,,0,0.4.0
1777135131098613000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,26,,,,12012,,,,,,0,0.4.0
1777135134136682000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,27,auto,82729065,-26,,,,,,,0,0.4.0
1777135134151878000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,27,,,,17205,,,,,,0,0.4.0
1777135137294462000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,28,auto,85885030,-26,,,,,,,0,0.4.0
1777135137305744000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,28,,,,15983,,,,,,0,0.4.0
1777135140280468000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,29,auto,88875038,-26,,,,,,,0,0.4.0
1777135140295071000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,29,,,,14974,,,,,,0,0.4.0
1777135143491613000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,30,auto,92086069,-26,,,,,,,0,0.4.0
1777135143513789000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,30,,,,11944,,,,,,0,0.4.0
1777135146664565000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,31,auto,95256057,-26,,,,,,,0,0.4.0
1777135146688018000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,31,,,,24955,,,,,,0,0.4.0
1777135149509971000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,32,auto,98104022,-26,,,,,,,0,0.4.0
1777135149521032000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,32,,,,11991,,,,,,0,0.4.0
1777135152613566000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,33,auto,101208050,-26,,,,,,,0,0.4.0
1777135152626344000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,33,,,,12998,,,,,,0,0.4.0
1777135155758491000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,34,auto,104353009,-27,,,,,,,0,0.4.0
1777135155769904000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,34,,,,12004,,,,,,0,0.4.0
1777135158848754000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,35,auto,107440033,-26,,,,,,,0,0.4.0
1777135158868174000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,35,,,,15979,,,,,,0,0.4.0
1777135161644146000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,36,auto,110237050,-26,,,,,,,0,0.4.0
1777135161654751000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,36,,,,13346,,,,,,0,0.4.0
1777135164423312000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,37,auto,113018076,-26,,,,,,,0,0.4.0
1777135164436832000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,37,,,,13937,,,,,,0,0.4.0
1777135167530425000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,38,auto,116125022,-26,,,,,,,0,0.4.0
1777135167542104000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,38,,,,11995,,,,,,0,0.4.0
1777135170292000000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,39,auto,118885009,-26,,,,,,,0,0.4.0
1777135170303211000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_light,1808720066,39,,,,13004,,,,,,0,0.4.0
1777135173425385000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_light,1808720066,40,auto,122020015,-27,,,,,,,0,0.4.0
