type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3518526704,4.961250,13.317500,155.945038,771.908386,-38,0,0,-1
power_sample,2,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3518626223,4.993750,13.492499,142.754196,713.282410,-37,1,3518549995,76228
power_sample,3,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3518726151,5.201250,5.145000,64.879387,339.541962,-38,1,3518549995,176156
power_sample,4,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3518826218,5.198750,5.047500,64.879387,337.099213,-38,1,3518549995,276223
power_sample,5,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3518926183,5.026250,13.142500,72.989304,368.854980,-37,1,3518549995,376188
power_sample,6,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519026152,5.207500,6.267500,64.879387,327.328247,-38,1,3518549995,476157
power_sample,7,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519126172,5.222500,4.952500,64.683968,339.541962,-37,1,3518549995,576177
power_sample,8,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519226219,5.202500,5.087500,64.683968,337.099213,-37,1,3518549995,676224
power_sample,9,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519326199,5.222500,5.905000,65.074806,339.541962,-38,1,3518549995,776204
power_sample,10,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519426147,5.217500,5.082500,64.879387,339.541962,-36,1,3518549995,876152
power_sample,11,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519526166,5.210000,5.055000,64.781670,337.099213,-37,1,3518549995,976171
power_sample,12,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519626203,5.162500,5.660000,131.322128,676.641235,-38,1,3518549995,1076208
power_sample,13,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519726147,5.202500,6.347500,64.879387,332.213715,-36,1,3518549995,1176152
power_sample,14,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519826144,5.211250,5.010000,64.781670,339.541962,-37,1,3518549995,1276149
power_sample,15,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3519926139,4.982500,12.950000,142.656479,713.282410,-36,1,3518549995,1376144
power_sample,16,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520026165,5.198750,5.927500,64.977097,337.099213,-38,1,3518549995,1476170
power_sample,17,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520126132,5.201250,5.047500,65.172516,337.099213,-38,1,3518549995,1576137
power_sample,18,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520226199,5.187500,5.157500,64.781670,337.099213,-36,1,3518549995,1676204
power_sample,19,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520326209,5.195000,5.722500,64.977097,337.099213,-37,1,3518549995,1776214
power_sample,20,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520426147,5.198750,6.460000,64.977097,337.099213,-36,1,3518549995,1876152
power_sample,21,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520526148,5.203750,5.077500,64.781670,339.541962,-37,1,3518549995,1976153
power_sample,22,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520626185,5.205000,5.265000,64.879387,337.099213,-35,1,3518549995,2076190
power_sample,23,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520726148,5.182500,6.012500,65.074806,312.671753,-38,1,3518549995,2176153
power_sample,24,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520826183,5.217500,5.125000,64.781670,339.541962,-38,1,3518549995,2276188
power_sample,25,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3520926185,4.987500,11.687500,140.995407,703.511414,-38,1,3518549995,2376190
power_sample,26,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521026166,5.201250,5.720000,64.977097,337.099213,-38,1,3518549995,2476171
power_sample,27,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521126132,5.212500,6.477500,65.074806,339.541962,-36,1,3518549995,2576137
power_sample,28,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521226179,5.200000,5.120000,64.879387,337.099213,-37,1,3518549995,2676184
power_sample,29,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521326219,5.185000,5.407500,64.977097,337.099213,-38,1,3518549995,2776224
power_sample,30,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521426147,5.200000,6.125000,65.074806,320.000000,-36,1,3518549995,2876152
power_sample,31,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521526148,5.197500,5.132500,64.879387,339.541962,-38,1,3518549995,2976153
power_sample,32,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521626165,5.195000,5.017500,64.879387,337.099213,-36,1,3518549995,3076170
power_sample,33,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521726189,5.201250,5.725000,65.074806,339.541962,-38,1,3518549995,3176194
power_sample,34,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521826147,5.180000,6.487500,65.367935,337.099213,-37,1,3518549995,3276152
power_sample,35,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3521926182,4.986250,5.162500,143.438156,735.267151,-36,1,3518549995,3376187
power_sample,36,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3522026199,5.212500,5.437500,65.172516,339.541962,-38,1,3518549995,3476204
power_sample,37,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3522126132,5.198750,6.182500,65.270226,324.885498,-37,1,3518549995,3576137
power_sample,38,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3522226186,5.201250,11.480000,64.879387,339.541962,-36,1,3518549995,3676191
power_sample,39,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3522326219,5.215000,5.027500,64.977097,339.541962,-35,1,3518549995,3776224
power_sample,40,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3522426148,5.182500,5.770000,65.270226,339.541962,-38,1,3518549995,3876153
power_sample,41,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3522526148,5.201250,5.150000,65.367935,339.541962,-37,1,3518549995,3976153
power_sample,42,W2_wifi_periodic_6s_quiet_telemetry_v2_rep11,3522626136,5.213750,5.160000,65.172516,339.541962,-36,1,3518549995,4076141
