command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
74,off,217390,1777546151759255000,2026-04-30T13:49:11.840+03:00,200,,0.4.1
75,on,220381,1777546154749925000,2026-04-30T13:49:14.838+03:00,200,,0.4.1
76,off,223585,1777546157954134000,2026-04-30T13:49:18.037+03:00,200,,0.4.1
77,on,226575,1777546160943946000,2026-04-30T13:49:21.027+03:00,200,,0.4.1
78,off,229683,1777546164050966000,2026-04-30T13:49:24.133+03:00,200,,0.4.1
79,on,232669,1777546167037368000,2026-04-30T13:49:27.129+03:00,200,,0.4.1
80,off,235724,1777546170093215000,2026-04-30T13:49:30.174+03:00,200,,0.4.1
81,on,238477,1777546172845684000,2026-04-30T13:49:32.921+03:00,200,,0.4.1
82,off,241524,1777546175892006000,2026-04-30T13:49:35.973+03:00,200,,0.4.1
83,on,244674,1777546179042067000,2026-04-30T13:49:39.124+03:00,200,,0.4.1
84,off,247726,1777546182095201000,2026-04-30T13:49:42.192+03:00,200,,0.4.1
85,on,250882,1777546185247696000,2026-04-30T13:49:45.336+03:00,200,,0.4.1
86,off,253772,1777546188136882000,2026-04-30T13:49:48.224+03:00,200,,0.4.1
87,on,256887,1777546191256133000,2026-04-30T13:49:51.337+03:00,200,,0.4.1
88,off,259830,1777546194196961000,2026-04-30T13:49:54.284+03:00,200,,0.4.1
89,on,262615,1777546196983309000,2026-04-30T13:49:57.071+03:00,200,,0.4.1
90,off,265680,1777546200045576000,2026-04-30T13:50:00.175+03:00,200,,0.4.1
91,on,268625,1777546202993760000,2026-04-30T13:50:03.083+03:00,200,,0.4.1
92,off,271689,1777546206056890000,2026-04-30T13:50:06.147+03:00,200,,0.4.1
93,on,274600,1777546208966330000,2026-04-30T13:50:09.047+03:00,200,,0.4.1
94,off,277505,1777546211870490000,2026-04-30T13:50:11.952+03:00,200,,0.4.1
95,on,280678,1777546215047093000,2026-04-30T13:50:15.129+03:00,200,,0.4.1
96,off,283782,1777546218146067000,2026-04-30T13:50:18.227+03:00,200,,0.4.1
97,on,286892,1777546221261075000,2026-04-30T13:50:21.335+03:00,200,,0.4.1
98,off,289696,1777546224061909000,2026-04-30T13:50:24.141+03:00,200,,0.4.1
99,on,292771,1777546227140061000,2026-04-30T13:50:27.219+03:00,200,,0.4.1
100,off,295852,1777546230220445000,2026-04-30T13:50:30.323+03:00,200,,0.4.1
