pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,pi_time_s,ha_time_s,raw_delay_ms,norm_delay_ms
1774942636599781000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:16.625361+03:00,01KN1D6JG8PAN9P72E9M49WCVK,01KN1D6JG8PAN9P72E9M49WCVK,0,0.1.1,1774942636.599781,1774942636.625361,-25.57992935180664,5.317211151123047
1774942648148678000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:37:28.175482+03:00,01KN1D6XSFGDTTBGR6ZM5E32SB,01KN1D6XSFGDTTBGR6ZM5E32SB,0,0.1.1,1774942648.1486778,1774942648.175482,-26.804208755493164,4.092931747436523
1774942654501194000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:34.521885+03:00,01KN1D73ZTMTWZVMGZ3Z13YHTA,01KN1D73ZTMTWZVMGZ3Z13YHTA,0,0.1.1,1774942654.501194,1774942654.521885,-20.69091796875,10.206222534179688
1774942665581489000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:37:45.612304+03:00,01KN1D7ETET1CE4W6CZS7HTP0J,01KN1D7ETET1CE4W6CZS7HTP0J,0,0.1.1,1774942665.5814888,1774942665.612304,-30.81512451171875,0.0820159912109375
1774942670536811000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:50.563895+03:00,01KN1D7KN44M1TQV90KT1T5YZ6,01KN1D7KN44M1TQV90KT1T5YZ6,0,0.1.1,1774942670.536811,1774942670.563895,-27.083873748779297,3.8132667541503906
1774942674629776000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:37:54.659742+03:00,01KN1D7QMPPBQSB6PWSDA5R6N8,01KN1D7QMPPBQSB6PWSDA5R6N8,0,0.1.1,1774942674.6297758,1774942674.659742,-29.966354370117188,0.9307861328125
1774942678569811000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:37:58.595407+03:00,01KN1D7VG44DEA05CV7W3AVGV4,01KN1D7VG44DEA05CV7W3AVGV4,0,0.1.1,1774942678.5698109,1774942678.595407,-25.596141815185547,5.300998687744141
1774942682263388000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:02.282651+03:00,01KN1D7Z39P5W0E0ZS5Q445R57,01KN1D7Z39P5W0E0ZS5Q445R57,0,0.1.1,1774942682.263388,1774942682.282651,-19.263029098510742,11.634111404418945
1774942685886929000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:05.905400+03:00,01KN1D82MHQMSN2NQ5Q5749E9C,01KN1D82MHQMSN2NQ5Q5749E9C,0,0.1.1,1774942685.8869288,1774942685.9054,-18.471240997314453,12.425899505615234
1774942689624663000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:09.655212+03:00,01KN1D869SDAC9QKM1JW3Q3DK5,01KN1D869SDAC9QKM1JW3Q3DK5,0,0.1.1,1774942689.624663,1774942689.655212,-30.548810958862305,0.3483295440673828
1774942694138107000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:14.168547+03:00,01KN1D8APR4KKQBNT3D6FAZNBY,01KN1D8APR4KKQBNT3D6FAZNBY,0,0.1.1,1774942694.1381068,1774942694.168547,-30.440092086791992,0.4570484161376953
1774942697259341000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:17.289707+03:00,01KN1D8DRDW90A4FNX78J40ZP7,01KN1D8DRDW90A4FNX78J40ZP7,0,0.1.1,1774942697.259341,1774942697.289707,-30.365943908691406,0.5311965942382812
1774942700064897000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:20.091407+03:00,01KN1D8GFXQGVZPC62B5RR7MM9,01KN1D8GFXQGVZPC62B5RR7MM9,0,0.1.1,1774942700.064897,1774942700.091407,-26.510000228881836,4.387140274047852
1774942702736192000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:22.766495+03:00,01KN1D8K3GN0VSGMV5CK4W3MVG,01KN1D8K3GN0VSGMV5CK4W3MVG,0,0.1.1,1774942702.736192,1774942702.766495,-30.303001403808594,0.5941390991210938
1774942707736424000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:27.766381+03:00,01KN1D8QZQ5MVDXPTVMKXP1CWV,01KN1D8QZQ5MVDXPTVMKXP1CWV,0,0.1.1,1774942707.736424,1774942707.766381,-29.957056045532227,0.9400844573974609
1774942711143847000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:31.162656+03:00,01KN1D8V9W9KSWERXMKNC4T0RJ,01KN1D8V9W9KSWERXMKNC4T0RJ,0,0.1.1,1774942711.143847,1774942711.162656,-18.809080123901367,12.08806037902832
1774942714855137000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:34.885538+03:00,01KN1D8YY5S4PBX6203Y1FCF3G,01KN1D8YY5S4PBX6203Y1FCF3G,0,0.1.1,1774942714.855137,1774942714.885538,-30.400991439819336,0.49614906311035156
1774942718444348000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:38.471752+03:00,01KN1D92E85044XJPMDVB3ZPKX,01KN1D92E85044XJPMDVB3ZPKX,0,0.1.1,1774942718.4443479,1774942718.471752,-27.404069900512695,3.493070602416992
1774942722007772000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,on,off,2026-03-31T10:38:42.028313+03:00,01KN1D95XE5KBVMY9S2PRSYEB0,01KN1D95XE5KBVMY9S2PRSYEB0,0,0.1.1,1774942722.007772,1774942722.028313,-20.540952682495117,10.35618782043457
1774942724930366000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet_v3,0,state_changed,0,,,off,on,2026-03-31T10:38:44.960694+03:00,01KN1D98S3EQDNKK4MCKSX7WNB,01KN1D98S3EQDNKK4MCKSX7WNB,0,0.1.1,1774942724.930366,1774942724.960694,-30.328035354614258,0.5691051483154297
