type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1575181003,-38
event,2,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1584169385,-35
event,3,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1593169762,-39
event,4,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1602169813,-39
event,5,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1611169772,-36
event,6,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1620169551,-43
event,7,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1629169807,-38
event,8,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1638169363,-39
event,9,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1647169736,-38
event,10,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1656169836,-36
event,11,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1665169571,-35
event,12,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1674169821,-39
event,13,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1683169748,-39
event,14,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1692169829,-37
event,15,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1701169773,-34
event,16,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1710169790,-39
event,17,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1719169840,-38
event,18,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1728169344,-40
event,19,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1737169758,-38
event,20,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1746169782,-35
event,21,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1755169761,-36
event,22,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1764169800,-35
event,23,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1773169603,-34
event,24,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1782169822,-34
event,25,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1791169771,-34
event,26,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1800169839,-35
event,27,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1809169816,-39
event,28,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1818169846,-39
event,29,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1827169826,-37
event,30,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1836169821,-39
event,31,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1845169767,-39
event,32,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1854169833,-35
event,33,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1863169828,-37
event,34,W2_wifi_periodic_9s_quiet_ctrl_v2_rep7,periodic,1872170265,-35
