pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version,rtt_ms
1774872007928852000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,45,,,,16170.0,,,,,,0,0.1.1,16.17
1774872011912918000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,46,,,,43265.0,,,,,,0,0.1.1,43.265
1774872015857401000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,47,,,,13233.0,,,,,,0,0.1.1,13.233
1774872019843233000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,48,,,,57970.0,,,,,,0,0.1.1,57.97
1774872023352043000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,49,,,,15191.0,,,,,,0,0.1.1,15.191
1774872026870802000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,50,,,,11770.0,,,,,,0,0.1.1,11.77
1774872030326953000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,51,,,,13356.0,,,,,,0,0.1.1,13.356
1774872034250345000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,52,,,,31081.0,,,,,,0,0.1.1,31.081
1774872038552264000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,53,,,,16564.0,,,,,,0,0.1.1,16.564
1774872042597886000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,54,,,,189690.0,,,,,,0,0.1.1,189.69
1774872046431418000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,55,,,,13240.0,,,,,,0,0.1.1,13.24
1774872050456376000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,56,,,,13674.0,,,,,,0,0.1.1,13.674
1774872054857610000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,57,,,,16033.0,,,,,,0,0.1.1,16.033
1774872059500086000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,58,,,,15618.0,,,,,,0,0.1.1,15.618
1774872064918012000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,59,,,,17274.0,,,,,,0,0.1.1,17.274
1774872069572298000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,60,,,,12186.0,,,,,,0,0.1.1,12.186
1774872073783657000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,61,,,,18101.0,,,,,,0,0.1.1,18.101
1774872077522927000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,62,,,,25580.0,,,,,,0,0.1.1,25.58
1774872080670199000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,63,,,,13394.0,,,,,,0,0.1.1,13.394
1774872084363056000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,64,,,,13634.0,,,,,,0,0.1.1,13.634
1774872088483633000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,65,,,,12634.0,,,,,,0,0.1.1,12.634
