type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,53,W2_wifi_periodic_1s_quiet_ctrl_v1,7480450,5.048750,6.495000,65.172516,327.328247,-25
power_sample,54,W2_wifi_periodic_1s_quiet_ctrl_v1,7580458,5.048750,5.132500,65.270226,332.213715,-25
power_sample,55,W2_wifi_periodic_1s_quiet_ctrl_v1,7680434,4.887500,13.507500,118.033577,576.488525,-25
power_sample,56,W2_wifi_periodic_1s_quiet_ctrl_v1,7780476,5.048750,6.095000,65.172516,307.786255,-25
power_sample,57,W2_wifi_periodic_1s_quiet_ctrl_v1,7880488,5.048750,5.200000,65.270226,332.213715,-25
power_sample,58,W2_wifi_periodic_1s_quiet_ctrl_v1,7980435,5.051250,5.212500,64.977097,327.328247,-25
power_sample,59,W2_wifi_periodic_1s_quiet_ctrl_v1,8080488,5.048750,5.732500,65.172516,327.328247,-25
power_sample,60,W2_wifi_periodic_1s_quiet_ctrl_v1,8180492,5.046250,6.520000,65.270226,332.213715,-25
power_sample,61,W2_wifi_periodic_1s_quiet_ctrl_v1,8280430,5.047500,5.180000,65.270226,332.213715,-25
power_sample,62,W2_wifi_periodic_1s_quiet_ctrl_v1,8380440,5.046250,5.382500,65.270226,327.328247,-24
power_sample,63,W2_wifi_periodic_1s_quiet_ctrl_v1,8480450,5.047500,6.212500,64.977097,315.114502,-25
power_sample,64,W2_wifi_periodic_1s_quiet_ctrl_v1,8580476,5.047500,5.045000,65.172516,327.328247,-25
power_sample,65,W2_wifi_periodic_1s_quiet_ctrl_v1,8680504,4.890000,12.447499,148.519089,725.496155,-25
power_sample,66,W2_wifi_periodic_1s_quiet_ctrl_v1,8780458,5.047500,5.785000,65.270226,327.328247,-25
power_sample,67,W2_wifi_periodic_1s_quiet_ctrl_v1,8880473,5.047500,5.200000,65.270226,332.213715,-24
power_sample,68,W2_wifi_periodic_1s_quiet_ctrl_v1,8980435,5.047500,5.210000,65.270226,327.328247,-25
power_sample,69,W2_wifi_periodic_1s_quiet_ctrl_v1,9080438,5.047500,5.480000,65.270226,327.328247,-25
power_sample,70,W2_wifi_periodic_1s_quiet_ctrl_v1,9180417,5.047500,6.227500,65.270226,315.114502,-25
power_sample,71,W2_wifi_periodic_1s_quiet_ctrl_v1,9280450,5.048750,4.952500,65.465645,332.213715,-25
power_sample,72,W2_wifi_periodic_1s_quiet_ctrl_v1,9380455,5.047500,5.045000,65.270226,327.328247,-24
power_sample,73,W2_wifi_periodic_1s_quiet_ctrl_v1,9480430,5.047500,5.852500,65.367935,327.328247,-25
power_sample,74,W2_wifi_periodic_1s_quiet_ctrl_v1,9580435,5.047500,5.170000,65.270226,332.213715,-24
power_sample,75,W2_wifi_periodic_1s_quiet_ctrl_v1,9680447,4.901250,8.267500,140.213730,688.854919,-25
power_sample,76,W2_wifi_periodic_1s_quiet_ctrl_v1,9780476,5.047500,5.675000,65.465645,332.213715,-25
power_sample,77,W2_wifi_periodic_1s_quiet_ctrl_v1,9880488,5.047500,6.517500,65.270226,332.213715,-25
power_sample,78,W2_wifi_periodic_1s_quiet_ctrl_v1,9980485,5.047500,5.120000,65.270226,332.213715,-25
power_sample,79,W2_wifi_periodic_1s_quiet_ctrl_v1,10080476,5.048750,5.160000,65.172516,327.328247,-25
power_sample,80,W2_wifi_periodic_1s_quiet_ctrl_v1,10180435,5.048750,5.975000,65.270226,327.328247,-25
power_sample,81,W2_wifi_periodic_1s_quiet_ctrl_v1,10280488,5.046250,5.172500,65.270226,332.213715,-25
power_sample,82,W2_wifi_periodic_1s_quiet_ctrl_v1,10380415,5.050000,5.145000,65.172516,327.328247,-25
power_sample,83,W2_wifi_periodic_1s_quiet_ctrl_v1,10480430,5.047500,5.747500,65.172516,327.328247,-25
power_sample,84,W2_wifi_periodic_1s_quiet_ctrl_v1,10580492,5.047500,6.530000,65.270226,332.213715,-25
power_sample,85,W2_wifi_periodic_1s_quiet_ctrl_v1,10680473,4.896250,5.142500,124.287018,627.786255,-25
power_sample,86,W2_wifi_periodic_1s_quiet_ctrl_v1,10780492,5.048750,5.417500,65.270226,327.328247,-25
power_sample,87,W2_wifi_periodic_1s_quiet_ctrl_v1,10880413,5.048750,6.087500,65.270226,307.786255,-24
