pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1774940784887562000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,1,button,988174984,-36,,,,,,,0,0.1.1
1774940784899972000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,1,,,,15243,,,,,,0,0.1.1
1774940789929460000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,2,button,993219682,-36,,,,,,,0,0.1.1
1774940789938637000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,2,,,,10496,,,,,,0,0.1.1
1774940794802069000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,3,button,998089860,-40,,,,,,,0,0.1.1
1774940794811764000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,3,,,,13375,,,,,,0,0.1.1
1774940798082852000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,4,button,1001365825,-38,,,,,,,0,0.1.1
1774940798091788000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,4,,,,17353,,,,,,0,0.1.1
1774940801529267000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,5,button,1004819878,-40,,,,,,,0,0.1.1
1774940801537210000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,5,,,,9299,,,,,,0,0.1.1
1774940804643789000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,6,button,1007933262,-40,,,,,,,0,0.1.1
1774940804651754000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,6,,,,9916,,,,,,0,0.1.1
1774940809387433000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,7,button,1012675843,-45,,,,,,,0,0.1.1
1774940809399257000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,7,,,,12337,,,,,,0,0.1.1
