pi_rx_time_ns,topic,type,node,protocol,exp,t_local_us,bus_v,current_mA,power_mW,wifi_rssi,mqtt_retain,pipeline_version
1776100476538594000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6008479,5.04375,64.39084,644.8855,-27,0,0.2.1
1776100476638535000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6108532,5.045,64.58626,327.3282,-26,0,0.2.1
1776100476738571000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6208489,5.045,64.39084,324.8855,-28,0,0.2.1
1776100476838486000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6308528,5.04375,64.39084,324.8855,-27,0,0.2.1
1776100476938529000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6408491,5.045,64.39084,324.8855,-27,0,0.2.1
1776100477038469000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6508522,5.04875,64.39084,324.8855,-27,0,0.2.1
1776100477137832000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6608478,5.045,64.39084,324.8855,-27,0,0.2.1
1776100477238406000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6708546,5.04125,64.48855,324.8855,-27,0,0.2.1
1776100477338371000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6808528,5.045,64.48855,324.8855,-28,0,0.2.1
1776100477438547000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,6908546,5.04375,64.39084,324.8855,-27,0,0.2.1
1776100477538518000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7008472,4.87625,95.5603,708.3969,-27,0,0.2.1
1776100477638573000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7108523,5.045,64.48855,327.3282,-27,0,0.2.1
1776100477739777000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7208510,5.045,64.48855,324.8855,-28,0,0.2.1
1776100477838431000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7308476,5.045,64.39084,324.8855,-27,0,0.2.1
1776100477938527000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7408491,5.045,64.39084,327.3282,-27,0,0.2.1
1776100478038393000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7508477,5.045,64.48855,324.8855,-27,0,0.2.1
1776100478141603000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7608506,5.045,64.48855,324.8855,-28,0,0.2.1
1776100478238288000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7708459,5.045,64.39084,320,-28,0,0.2.1
1776100478338453000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7808489,5.04375,64.58626,327.3282,-28,0,0.2.1
1776100478438501000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,7908515,5.045,64.48855,324.8855,-27,0,0.2.1
1776100478541384000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8008495,4.875,147.542,659.542,-27,0,0.2.1
1776100478644583000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8108541,5.04375,64.58626,327.3282,-26,0,0.2.1
1776100478741660000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8208510,5.04625,64.48855,324.8855,-28,0,0.2.1
1776100478838487000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8308545,5.045,64.48855,324.8855,-26,0,0.2.1
1776100478938545000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8408530,5.045,64.48855,327.3282,-27,0,0.2.1
1776100479038502000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8508487,5.045,64.58626,327.3282,-28,0,0.2.1
1776100479139825000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8608491,5.045,64.48855,324.8855,-28,0,0.2.1
1776100479240054000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8708531,5.04375,64.39084,315.1145,-28,0,0.2.1
1776100479338367000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8808513,5.045,64.87939,327.3282,-27,0,0.2.1
1776100479438570000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,8908476,5.04375,64.58626,324.8855,-27,0,0.2.1
1776100479538659000,iotbench/power/wifi01_power/sample,power,wifi01_power,wifi,W2_wifi_idle_quiet_v1,9008535,4.885,143.5359,701.0687,-28,0,0.2.1
