pi_rx_time_ns,topic,type,node,protocol,exp,boot_id,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1777132663110961000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,16,auto,49631043,-49,,,,,,,0,0.4.0
1777132663150821000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,16,,,,19975,,,,,,0,0.4.0
1777132666081658000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,17,auto,52600085,-46,,,,,,,0,0.4.0
1777132666092665000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,17,,,,12905,,,,,,0,0.4.0
1777132669154474000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,18,auto,55673089,-46,,,,,,,0,0.4.0
1777132669176921000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,18,,,,21163,,,,,,0,0.4.0
1777132672106383000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,19,auto,58626070,-48,,,,,,,0,0.4.0
1777132672121131000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,19,,,,10959,,,,,,0,0.4.0
1777132674858715000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,20,auto,61378043,-47,,,,,,,0,0.4.0
1777132674877084000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,20,,,,18949,,,,,,0,0.4.0
1777132678028911000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,21,auto,64549029,-48,,,,,,,0,0.4.0
1777132678045864000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,21,,,,13961,,,,,,0,0.4.0
1777132681164178000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,22,auto,67681014,-49,,,,,,,0,0.4.0
1777132681176829000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,22,,,,15978,,,,,,0,0.4.0
1777132684230779000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,23,auto,70746049,-47,,,,,,,0,0.4.0
1777132684254287000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,23,,,,27969,,,,,,0,0.4.0
1777132687121397000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,24,auto,73640036,-46,,,,,,,0,0.4.0
1777132687132802000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,24,,,,12956,,,,,,0,0.4.0
1777132690248313000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,25,auto,76768015,-45,,,,,,,0,0.4.0
1777132690261303000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,25,,,,10975,,,,,,0,0.4.0
1777132693368240000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,26,auto,79875089,-45,,,,,,,0,0.4.0
1777132693378886000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,26,,,,23903,,,,,,0,0.4.0
1777132696482276000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,27,auto,83002021,-45,,,,,,,0,0.4.0
1777132696496654000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,27,,,,14249,,,,,,0,0.4.0
1777132699508432000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,28,auto,86028035,-45,,,,,,,0,0.4.0
1777132699522699000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,28,,,,12068,,,,,,0,0.4.0
1777132702422528000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,29,auto,88942014,-45,,,,,,,0,0.4.0
1777132702433993000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,29,,,,12005,,,,,,0,0.4.0
1777132705276622000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,30,auto,91796089,-45,,,,,,,0,0.4.0
1777132705287201000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,30,,,,11029,,,,,,0,0.4.0
1777132708082227000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,31,auto,94600085,-45,,,,,,,0,0.4.0
1777132708099792000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,31,,,,15905,,,,,,0,0.4.0
1777132710924585000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,32,auto,97444029,-45,,,,,,,0,0.4.0
1777132710941156000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,32,,,,14961,,,,,,0,0.4.0
1777132714146794000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,33,auto,100662051,-45,,,,,,,0,0.4.0
1777132714157991000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,33,,,,15994,,,,,,0,0.4.0
1777132717023326000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,34,auto,103543085,-48,,,,,,,0,0.4.0
1777132717034027000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,34,,,,10905,,,,,,0,0.4.0
1777132720121577000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,35,auto,106641008,-49,,,,,,,0,0.4.0
1777132720133898000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,35,,,,12982,,,,,,0,0.4.0
1777132722889228000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,36,auto,109409018,-49,,,,,,,0,0.4.0
1777132722901790000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,36,,,,13245,,,,,,0,0.4.0
1777132725754255000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,37,auto,112269043,-48,,,,,,,0,0.4.0
1777132725778901000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,37,,,,25946,,,,,,0,0.4.0
1777132728707432000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,38,auto,115227043,-49,,,,,,,0,0.4.0
1777132728723159000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,38,,,,11980,,,,,,0,0.4.0
1777132731480450000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,39,auto,118000075,-48,,,,,,,0,0.4.0
1777132731502299000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,39,,,,21915,,,,,,0,0.4.0
1777132734573542000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,40,auto,121093089,-49,,,,,,,0,0.4.0
1777132734584518000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,40,,,,10903,,,,,,0,0.4.0
1777132737483564000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,41,auto,124003056,-49,,,,,,,0,0.4.0
1777132737503941000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,41,,,,17934,,,,,,0,0.4.0
1777132740486700000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,42,auto,127006061,-49,,,,,,,0,0.4.0
1777132740500011000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,42,,,,11931,,,,,,0,0.4.0
1777132743538309000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,43,auto,130056076,-49,,,,,,,0,0.4.0
1777132743561151000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,43,,,,22914,,,,,,0,0.4.0
1777132746746385000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,44,auto,133264075,-46,,,,,,,0,0.4.0
1777132746771414000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,44,,,,22951,,,,,,0,0.4.0
1777132749523883000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,45,auto,136043021,-30,,,,,,,0,0.4.0
1777132749545787000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,45,,,,13560,,,,,,0,0.4.0
1777132752515793000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,46,auto,139035029,-24,,,,,,,0,0.4.0
1777132752541309000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,46,,,,22961,,,,,,0,0.4.0
1777132755430110000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,47,auto,141949056,-24,,,,,,,0,0.4.0
1777132755462685000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,47,,,,17966,,,,,,0,0.4.0
1777132758668841000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,48,auto,145188049,-25,,,,,,,0,0.4.0
1777132758689634000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,48,,,,13941,,,,,,0,0.4.0
1777132761786041000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,49,auto,148305061,-25,,,,,,,0,0.4.0
1777132761802400000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,49,,,,16956,,,,,,0,0.4.0
1777132764548577000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,50,auto,151066014,-26,,,,,,,0,0.4.0
1777132764570730000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,50,,,,23976,,,,,,0,0.4.0
1777132767635495000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,51,auto,154153043,-26,,,,,,,0,0.4.0
1777132767651516000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,51,,,,17947,,,,,,0,0.4.0
1777132770570473000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,52,auto,157088049,-26,,,,,,,0,0.4.0
1777132770589464000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,52,,,,20941,,,,,,0,0.4.0
1777132773709104000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,53,auto,160228056,-25,,,,,,,0,0.4.0
1777132773720288000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,53,,,,11934,,,,,,0,0.4.0
1777132776568637000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,54,auto,163088021,-25,,,,,,,0,0.4.0
1777132776590162000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,54,,,,21232,,,,,,0,0.4.0
1777132779596902000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,55,auto,166116008,-25,,,,,,,0,0.4.0
1777132779608369000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,55,,,,11981,,,,,,0,0.4.0
1777132782840484000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,56,auto,169358035,-25,,,,,,,0,0.4.0
1777132782860609000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,56,,,,21957,,,,,,0,0.4.0
1777132785786975000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,57,auto,172300061,-26,,,,,,,0,0.4.0
1777132785797568000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,57,,,,16967,,,,,,0,0.4.0
1777132788679094000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,58,auto,175198085,-25,,,,,,,0,0.4.0
1777132788695303000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,58,,,,11907,,,,,,0,0.4.0
1777132791781248000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,59,auto,178300056,-26,,,,,,,0,0.4.0
1777132791793599000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,59,,,,12934,,,,,,0,0.4.0
1777132795020280000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,60,auto,181539085,-25,,,,,,,0,0.4.0
1777132795041905000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,60,,,,21907,,,,,,0,0.4.0
1777132798038210000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,61,auto,184557056,-24,,,,,,,0,0.4.0
1777132798049616000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,61,,,,11961,,,,,,0,0.4.0
1777132801248146000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,62,auto,187767061,-26,,,,,,,0,0.4.0
1777132801259458000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,62,,,,11931,,,,,,0,0.4.0
1777132804022698000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,63,auto,190540089,-25,,,,,,,0,0.4.0
1777132804041521000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,63,,,,21185,,,,,,0,0.4.0
1777132807047443000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,64,auto,193566056,-26,,,,,,,0,0.4.0
1777132807060922000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,64,,,,13950,,,,,,0,0.4.0
1777132810079586000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,65,auto,196598021,-25,,,,,,,0,0.4.0
1777132810095473000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,65,,,,11968,,,,,,0,0.4.0
1777132813042816000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,66,auto,199560014,-26,,,,,,,0,0.4.0
1777132813065150000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,66,,,,15976,,,,,,0,0.4.0
1777132816052425000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W3_wifi_auto_heavy,464725313,67,auto,202571061,-26,,,,,,,0,0.4.0
1777132816063601000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W3_wifi_auto_heavy,464725313,67,,,,11929,,,,,,0,0.4.0
