type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,274834015,-34
event,2,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,284822807,-37
event,3,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,294822761,-35
event,4,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,304822506,-38
event,5,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,314822793,-36
event,6,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,324822777,-38
event,7,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,334822472,-35
event,8,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,344822548,-37
event,9,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,354822793,-38
event,10,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,364823387,-35
event,11,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,374822828,-34
event,12,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,384822818,-37
event,13,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,394822405,-36
event,14,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,404822862,-34
event,15,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,414822813,-34
event,16,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,424822794,-34
event,17,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,434822785,-36
event,18,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,444822746,-37
event,19,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,454822754,-38
event,20,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,464822832,-34
event,21,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,474822798,-35
event,22,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,484822782,-37
event,23,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,494822396,-37
event,24,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,504822788,-38
event,25,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,514822750,-39
event,26,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,524822761,-38
event,27,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,534822824,-39
event,28,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,544822827,-35
event,29,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,554822785,-36
event,30,W2_wifi_periodic_10s_quiet_ctrl_v2_rep10,periodic,564822827,-37
