command_index,target_state,planned_offset_ms,sent_time_ns,sent_at_local,status_code,error,pipeline_version
74,off,217520,1777810090711860000,2026-05-03T15:08:10.796+03:00,200,,0.4.7
75,on,220647,1777810093845638000,2026-05-03T15:08:13.929+03:00,200,,0.4.7
76,off,223769,1777810096965991000,2026-05-03T15:08:17.052+03:00,200,,0.4.7
77,on,226718,1777810099912969000,2026-05-03T15:08:19.988+03:00,200,,0.4.7
78,off,229528,1777810102718691000,2026-05-03T15:08:22.805+03:00,200,,0.4.7
79,on,232672,1777810105868625000,2026-05-03T15:08:25.944+03:00,200,,0.4.7
80,off,235734,1777810108932566000,2026-05-03T15:08:29.129+03:00,200,,0.4.7
81,on,238684,1777810111878404000,2026-05-03T15:08:31.965+03:00,200,,0.4.7
82,off,241619,1777810114807861000,2026-05-03T15:08:34.891+03:00,200,,0.4.7
83,on,244779,1777810117975810000,2026-05-03T15:08:38.074+03:00,200,,0.4.7
84,off,247869,1777810121060219000,2026-05-03T15:08:41.183+03:00,200,,0.4.7
85,on,250686,1777810123884523000,2026-05-03T15:08:43.974+03:00,200,,0.4.7
86,off,253829,1777810127026716000,2026-05-03T15:08:47.105+03:00,200,,0.4.7
87,on,256821,1777810130018379000,2026-05-03T15:08:50.103+03:00,200,,0.4.7
88,off,260051,1777810133241801000,2026-05-03T15:08:53.327+03:00,200,,0.4.7
89,on,262958,1777810136152332000,2026-05-03T15:08:56.239+03:00,200,,0.4.7
90,off,266000,1777810139188643000,2026-05-03T15:08:59.268+03:00,200,,0.4.7
91,on,269143,1777810142335003000,2026-05-03T15:09:02.421+03:00,200,,0.4.7
92,off,272344,1777810145540438000,2026-05-03T15:09:05.639+03:00,200,,0.4.7
93,on,275593,1777810148788665000,2026-05-03T15:09:08.865+03:00,200,,0.4.7
94,off,278671,1777810151869444000,2026-05-03T15:09:11.971+03:00,200,,0.4.7
95,on,281704,1777810154902286000,2026-05-03T15:09:15.015+03:00,200,,0.4.7
96,off,284785,1777810157974095000,2026-05-03T15:09:18.094+03:00,200,,0.4.7
97,on,287589,1777810160782213000,2026-05-03T15:09:20.854+03:00,200,,0.4.7
98,off,290814,1777810164009323000,2026-05-03T15:09:24.096+03:00,200,,0.4.7
99,on,294061,1777810167253699000,2026-05-03T15:09:27.331+03:00,200,,0.4.7
100,off,297048,1777810170245117000,2026-05-03T15:09:30.328+03:00,200,,0.4.7
