type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,350714928,4.975000,13.405000,156.531296,779.236633,-39,0,0,-1
power_sample,2,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,350814601,5.005000,13.849999,142.167923,696.183228,-36,1,350738178,76423
power_sample,3,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,350914505,5.231250,5.167500,65.367935,344.427460,-36,1,350738178,176327
power_sample,4,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351014467,5.207500,5.182500,65.367935,339.541962,-39,1,350738178,276289
power_sample,5,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351114450,4.991250,14.304999,140.116028,701.068726,-39,1,350738178,376272
power_sample,6,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351214484,5.221250,6.560000,88.525185,344.427460,-37,1,350738178,476306
power_sample,7,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351314503,5.211250,5.192500,65.465645,339.541962,-39,1,350738178,576325
power_sample,8,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351414465,5.235000,5.345000,65.172516,339.541962,-44,1,350738178,676287
power_sample,9,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351514457,5.010000,13.897500,141.972519,701.068726,-37,1,350738178,776279
power_sample,10,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351614491,5.217500,5.110000,65.661064,344.427460,-44,1,350738178,876313
power_sample,11,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351714467,5.200000,5.025000,65.465645,339.541962,-39,1,350738178,976289
power_sample,12,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351814433,5.002500,13.545000,142.949615,715.725159,-32,1,350738178,1076255
power_sample,13,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,351914451,5.211250,6.562500,65.172516,344.427460,-37,1,350738178,1176273
power_sample,14,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352014432,5.205000,5.242500,65.758774,344.427460,-44,1,350738178,1276254
power_sample,15,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352114458,4.981250,13.215000,146.271744,727.938904,-45,1,350738178,1376280
power_sample,16,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352214505,5.206250,6.507500,121.551140,344.427460,-39,1,350738178,1476327
power_sample,17,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352314507,5.206250,5.135000,65.563362,344.427460,-36,1,350738178,1576329
power_sample,18,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352414491,5.186250,12.860000,65.465645,339.541962,-36,1,350738178,1676313
power_sample,19,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352514465,5.000000,13.947499,142.167923,713.282410,-36,1,350738178,1776287
power_sample,20,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352614503,5.212500,5.197500,65.465645,344.427460,-44,1,350738178,1876325
power_sample,21,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352714450,5.205000,5.187500,65.465645,339.541962,-39,1,350738178,1976272
power_sample,22,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352814457,5.007500,13.474999,141.972519,713.282410,-44,1,350738178,2076279
power_sample,23,W2_wifi_periodic_3s_quiet_telemetry_v2_rep7,352914503,5.221250,6.562500,65.270226,344.427460,-41,1,350738178,2176325
