ap_channel,ap_width_mhz,zigbee_exposure,load_level,runs,replicates,p95_latency_ms_mean,p95_latency_ms_lower,p95_latency_ms_upper,p95_latency_ms_std,mad_latency_ms_mean,mad_latency_ms_lower,mad_latency_ms_upper,mad_latency_ms_std,missing_events_mean,extra_events_mean,repeated_event_id_rows_mean,iperf_mean_mbps
1,20,control / non-overlap with Zigbee ch20,baseline,"R678, R680, R682, R684, R686",5,10.762977280005579,9.497889405953776,12.028065154057382,1.018864906997321,1.7358847999945284,1.518645793858669,1.9531238061303877,0.174957964835998,0.0,0.0,0.0,
1,20,control / non-overlap with Zigbee ch20,heavy,"R679, R681, R683, R685, R687",5,10.378982400014063,9.393493444992373,11.364471355035754,0.7936840855878344,1.686476800008677,1.263249364809484,2.10970423520787,0.340855042758305,0.0,0.4,0.4,49.98760869565217
9,20,overlap with Zigbee ch20,baseline,"R688, R690, R692, R694, R696",5,9.882442240013624,8.824925684636046,10.939958795391203,0.8516930159104378,2.227737599989632,1.7808583924184231,2.6746168075608407,0.3599034909747561,0.0,0.0,0.0,
9,20,overlap with Zigbee ch20,heavy,"R689, R691, R693, R695, R697",5,10.59656191998627,10.083334293574644,11.109789546397895,0.41333857400559154,2.2216703999903986,1.7463750049731064,2.696965795007691,0.3827890602488845,0.0,0.8,1.2,49.98815217391304
