protocol,load,run_id,p95,mad,reliability
wifi,baseline,R600,20.03415,1.1645000000000003,1.0
wifi,light,R601,23.095649999999996,1.8685,1.0
wifi,moderate,R602,23.340899999999998,1.6334999999999997,1.0
wifi,heavy,R603,24.96875,4.029499999999999,0.93
wifi,baseline,R604,22.985599999999998,1.0084999999999988,1.0
wifi,light,R605,21.070149999999995,1.9040000000000008,1.0
wifi,moderate,R606,23.094749999999998,1.9659999999999984,1.0
wifi,heavy,R607,23.93555,3.9849999999999985,1.0
wifi,baseline,R608,19.128799999999995,1.0164999999999997,1.0
wifi,light,R609,23.168049999999997,1.9444999999999997,1.0
wifi,moderate,R610,23.956899999999997,2.0859999999999985,1.0
wifi,heavy,R611,23.251299999999997,2.6420000000000012,1.0
wifi,baseline,R612,19.03455,1.1189999999999998,1.0
wifi,light,R613,21.047799999999995,1.286500000000001,1.0
wifi,moderate,R614,24.3056,1.9864999999999995,1.0
wifi,heavy,R615,23.9275,3.2095000000000002,1.0
wifi,baseline,R616,17.98365,0.9479999999999995,1.0
wifi,light,R617,26.031099999999995,1.0239999999999991,1.0
wifi,moderate,R618,26.130249999999997,1.9639999999999995,1.0
wifi,heavy,R619,24.174149999999997,3.0435000000000008,1.0
zigbee,baseline,R620,11.215231999999999,1.461631999999998,1.0
zigbee,light,R621,11.523724799999997,2.7095040000000026,1.0
zigbee,moderate,R622,10.177203200000001,2.1276160000000033,1.0
zigbee,heavy,R623,11.448473600000003,2.504576,1.0
zigbee,baseline,R624,10.566758400000003,1.8658560000000008,1.0
zigbee,light,R625,9.593113600000004,2.2424319999999973,1.0
zigbee,moderate,R626,10.604096000000002,1.8470399999999998,1.0
zigbee,heavy,R627,10.847295999999995,2.379007999999999,1.0
zigbee,baseline,R628,9.5205888,2.086912000000005,1.0
zigbee,light,R629,10.862630399999992,1.3904639999999873,1.0
zigbee,moderate,R630,9.78837759999999,2.6990080000000063,1.0
zigbee,heavy,R631,10.552947200000009,1.5654399999999953,1.0
zigbee,baseline,R632,8.236915199999991,1.3989119999999957,1.0
zigbee,light,R633,11.409152000000002,1.7424639999999982,1.0
zigbee,moderate,R634,9.178124799999997,2.559359999999998,1.0
zigbee,heavy,R635,11.788543999999991,1.5695359999999994,1.0
zigbee,baseline,R636,11.067391999999993,2.124543999999993,1.0
zigbee,light,R637,11.44523520000001,1.5630079999999964,1.0
zigbee,moderate,R638,11.185753599999998,1.8580479999999966,1.0
zigbee,heavy,R639,8.994585599999995,2.3079680000000025,1.0
ble,baseline,R640,215.00482177734375,94.782958984375,0.96
ble,light,R641,147.99174804687493,83.8404541015625,0.98
ble,moderate,R642,108.55107421874995,64.6708984375,0.97
ble,heavy,R643,142.7211669921875,89.31396484375,0.99
ble,baseline,R644,177.85288085937498,87.401123046875,0.99
ble,light,R645,174.1903076171875,85.944091796875,0.99
ble,moderate,R646,210.00822753906243,64.6650390625,0.98
ble,heavy,R647,159.16453857421806,87.487060546875,0.98
ble,baseline,R648,231.1954589843744,91.576904296875,0.97
ble,light,R649,222.40638427734373,61.7239990234375,0.94
ble,moderate,R650,166.8102050781249,75.510009765625,0.99
ble,heavy,R651,172.02421875,85.508056640625,0.97
ble,baseline,R652,172.8818115234375,86.98681640625,0.99
ble,light,R653,139.441455078125,87.93896484375,0.95
ble,moderate,R654,178.3567138671875,87.3974609375,0.98
ble,heavy,R655,143.59967041015625,86.738525390625,0.96
ble,baseline,R656,254.51826171874978,85.943603515625,0.97
ble,light,R657,184.714794921875,74.280029296875,0.98
ble,moderate,R658,184.66890869140622,84.301025390625,0.94
ble,heavy,R659,139.82291259765623,87.3665771484375,0.98
ble,baseline,R660,146.6345336914062,81.940185546875,1.0
ble,heavy,R661,138.01362304687498,87.261962890625,0.99
ble,baseline,R662,171.81771240234374,90.4833984375,0.98
ble,heavy,R663,125.9540649414062,82.72802734375,0.98
ble,baseline,R664,179.92226562499945,82.9359130859375,0.98
ble,heavy,R665,173.46179199218747,85.945068359375,0.99
ble,baseline,R666,125.0462890625,84.675537109375,1.0
ble,heavy,R667,177.3111450195312,84.8250732421875,0.98
ble,baseline,R668,147.87548828125,83.840087890625,0.99
ble,heavy,R669,137.522607421875,77.9609375,0.99
ble,baseline,R670,161.33344726562487,83.38720703125,0.97
ble,heavy,R671,136.14685058593747,81.786865234375,0.99
ble,baseline,R672,165.7274536132812,54.1455078125,0.94
ble,heavy,R673,143.4835815429687,80.3365478515625,1.0
ble,baseline,R674,136.80407714843744,75.7900390625,0.99
ble,heavy,R675,111.14550781249976,82.3375244140625,0.98
ble,baseline,R676,181.98048095703126,87.1768798828125,1.0
ble,heavy,R677,171.75504150390626,91.8133544921875,0.98
zigbee,baseline,R678,11.27895039997529,1.474687999987509,1.0
zigbee,heavy,R679,10.573939200051239,1.5439360000018496,1.0
zigbee,baseline,R680,11.936204799992264,1.7291519999853335,1.0
zigbee,heavy,R681,10.351590399982523,1.2803840000124183,1.0
zigbee,baseline,R682,11.208064000032026,1.6961280000105035,1.0
zigbee,heavy,R683,9.776640000051701,1.8449919999984559,1.0
zigbee,baseline,R684,9.826137599995127,1.9409919999889098,1.0
zigbee,heavy,R685,11.602265599969542,1.5829760000342503,1.0
zigbee,baseline,R686,9.565529600033187,1.8384640000003856,1.0
zigbee,heavy,R687,9.590476800015312,2.1800959999964107,1.0
zigbee,baseline,R688,10.303155200011679,1.8810880000237375,1.0
zigbee,heavy,R689,11.265331200056243,1.979903999977978,1.0
zigbee,baseline,R690,10.479590399973675,1.8200319999887142,1.0
zigbee,heavy,R691,10.308902399984072,1.8120960000087507,1.0
zigbee,baseline,R692,9.67105280003161,2.4500479999987874,1.0
zigbee,heavy,R693,10.551590399988346,2.618367999995826,1.0
zigbee,baseline,R694,8.479692800040358,2.636543999949936,1.0
zigbee,heavy,R695,10.646297599945683,2.0573440000007395,1.0
zigbee,baseline,R696,10.478720000010798,2.3509759999869857,1.0
zigbee,heavy,R697,10.210687999957008,2.6406399999686982,1.0
