ap_channel,ap_width_mhz,target_ble_adv_channel,load_level,runs,samples,captured_events_mean,missing_events_mean,drop_rate_mean,p95_latency_ms_mean,p95_latency_ms_std,mad_latency_ms_mean,mad_latency_ms_std,iperf_mean_mbps
1,20,37,baseline,"R660, R662, R664",3,98.66666666666667,1.3333333333333333,0.013333333333333334,166.12483723958314,17.35871236684258,85.11983235677083,4.671589575270199,
1,20,37,heavy,"R661, R663, R665",3,98.66666666666667,1.3333333333333333,0.013333333333333334,145.8098266601562,24.69476919243604,85.31168619791667,2.33238560440687,49.99792231255646
6,20,38,baseline,"R666, R668, R670",3,98.66666666666667,1.3333333333333333,0.013333333333333332,144.7517415364583,18.344149146494935,83.96761067708333,0.6535634195316974,
6,20,38,heavy,"R667, R669, R671",3,98.66666666666667,1.3333333333333333,0.013333333333333334,150.32686767578122,23.37919148604633,81.5242919921875,3.4395927669462014,49.99783197831978
13,20,39,baseline,"R672, R674, R676",3,97.66666666666667,2.3333333333333335,0.02333333333333333,161.50400390624998,22.882417067262566,72.37080891927083,16.77904157844334,
13,20,39,heavy,"R673, R675, R677",3,98.66666666666667,1.3333333333333333,0.013333333333333334,142.12804361979158,30.32749587203522,84.82914225260417,6.130692640850445,50.000090334236674
