type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,574853859,4.938750,13.360000,155.651901,769.465637,-37,0,0,-1
power_sample,2,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,574953141,5.003750,13.389999,141.581665,708.396912,-37,1,574877101,76040
power_sample,3,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575053190,5.193750,5.147500,64.586258,337.099213,-37,1,574877101,176089
power_sample,4,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575153176,5.208750,5.125000,64.879387,339.541962,-38,1,574877101,276075
power_sample,5,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575253174,5.197500,5.447500,64.586258,337.099213,-38,1,574877101,376073
power_sample,6,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575353157,5.193750,6.235000,64.683968,324.885498,-37,1,574877101,476056
power_sample,7,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575453200,5.211250,4.990000,64.683968,339.541962,-38,1,574877101,576099
power_sample,8,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575553174,5.197500,5.060000,64.683968,337.099213,-38,1,574877101,676073
power_sample,9,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575653139,5.193750,5.830000,64.781670,337.099213,-42,1,574877101,776038
power_sample,10,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575753189,4.975000,12.172500,141.288544,703.511414,-37,1,574877101,876088
power_sample,11,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575853174,5.207500,5.090000,64.683968,337.099213,-37,1,574877101,976073
power_sample,12,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,575953191,5.193750,5.695000,64.683968,337.099213,-38,1,574877101,1076090
power_sample,13,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576053191,5.197500,6.460000,64.683968,337.099213,-38,1,574877101,1176090
power_sample,14,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576153174,5.207500,5.082500,64.683968,337.099213,-38,1,574877101,1276073
power_sample,15,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576253191,5.195000,5.285000,64.586258,337.099213,-38,1,574877101,1376090
power_sample,16,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576353191,5.200000,6.112500,64.683968,320.000000,-38,1,574877101,1476090
power_sample,17,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576453146,5.213750,5.115000,64.683968,339.541962,-38,1,574877101,1576045
power_sample,18,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576553139,5.197500,5.160000,64.683968,337.099213,-37,1,574877101,1676038
power_sample,19,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576653174,5.193750,5.697500,64.683968,337.099213,-37,1,574877101,1776073
power_sample,20,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576753172,4.971250,14.052500,141.190826,715.725159,-38,1,574877101,1876071
power_sample,21,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576853140,5.186250,5.142500,64.683968,337.099213,-37,1,574877101,1976039
power_sample,22,W2_wifi_periodic_9s_quiet_ctrl_v2_rep8,576953157,5.202500,5.417500,64.683968,337.099213,-38,1,574877101,2076056
