pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,mqtt_retain
1774613780835188000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,25,button,112108272,-38,,,,,0
1774613780846610000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,25,,,,12291,,,,0
1774613784013856000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,26,button,115286864,-39,,,,,0
1774613784025563000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,26,,,,11713,,,,0
1774613787286301000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,27,button,118551769,-38,,,,,0
1774613787297937000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,27,,,,18795,,,,0
1774613790715896000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,28,button,121962270,-37,,,,,0
1774613790727877000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,28,,,,38295,,,,0
1774613794123620000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,29,button,125395031,-31,,,,,0
1774613794135793000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,29,,,,13533,,,,0
1774613797310562000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,30,button,128582239,-39,,,,,0
1774613797330325000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,30,,,,16326,,,,0
1774613800509578000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,31,button,131779785,-38,,,,,0
1774613800526084000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,31,,,,18926,,,,0
1774613803851286000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,32,button,135123390,-39,,,,,0
1774613803862556000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,32,,,,12175,,,,0
1774613807171914000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,33,button,138440256,-38,,,,,0
1774613807187957000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,33,,,,20309,,,,0
1774613810461330000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,34,button,141732945,-36,,,,,0
1774613810476403000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,34,,,,13620,,,,0
1774613813805590000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,35,button,145048045,-38,,,,,0
1774613813817927000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,35,,,,42519,,,,0
1774613817060542000,iotbench/wifi/wifi01/event,event,wifi01,wifi,W1_wifi_near_quiet,36,button,148317640,-38,,,,,0
1774613817072869000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,W1_wifi_near_quiet,36,,,,27925,,,,0
