type,seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi
power_sample,57,W2_wifi_idle_quiet_ctrl_v1,7880499,5.048750,5.755000,64.293121,324.885498,-24
power_sample,58,W2_wifi_idle_quiet_ctrl_v1,7980482,5.050000,5.172500,63.999996,327.328247,-23
power_sample,59,W2_wifi_idle_quiet_ctrl_v1,8080464,5.052500,5.155000,64.683968,327.328247,-24
power_sample,60,W2_wifi_idle_quiet_ctrl_v1,8180426,5.048750,5.435000,64.390839,324.885498,-24
power_sample,61,W2_wifi_idle_quiet_ctrl_v1,8280429,5.048750,6.277500,64.097710,320.000000,-23
power_sample,62,W2_wifi_idle_quiet_ctrl_v1,8380481,5.048750,5.042500,64.977097,327.328247,-24
power_sample,63,W2_wifi_idle_quiet_ctrl_v1,8480442,5.048750,5.065000,64.390839,324.885498,-24
power_sample,64,W2_wifi_idle_quiet_ctrl_v1,8580425,5.048750,5.855000,64.097710,324.885498,-23
power_sample,65,W2_wifi_idle_quiet_ctrl_v1,8680533,4.890000,6.300000,139.529770,683.969421,-23
power_sample,66,W2_wifi_idle_quiet_ctrl_v1,8780481,5.051250,5.160000,64.586258,327.328247,-24
power_sample,67,W2_wifi_idle_quiet_ctrl_v1,8880495,5.048750,5.730000,64.195419,324.885498,-24
power_sample,68,W2_wifi_idle_quiet_ctrl_v1,8980444,5.050000,6.487500,63.999996,327.328247,-24
power_sample,69,W2_wifi_idle_quiet_ctrl_v1,9080498,5.051250,5.202500,64.683968,327.328247,-24
power_sample,70,W2_wifi_idle_quiet_ctrl_v1,9180489,5.048750,5.425000,64.293121,324.885498,-24
power_sample,71,W2_wifi_idle_quiet_ctrl_v1,9280447,5.050000,6.185000,63.804573,312.671753,-24
power_sample,72,W2_wifi_idle_quiet_ctrl_v1,9380485,5.050000,4.927500,64.879387,327.328247,-24
power_sample,73,W2_wifi_idle_quiet_ctrl_v1,9480423,5.050000,4.935000,64.488548,324.885498,-24
power_sample,74,W2_wifi_idle_quiet_ctrl_v1,9580426,5.050000,5.785000,64.195419,324.885498,-24
power_sample,75,W2_wifi_idle_quiet_ctrl_v1,9680467,4.897500,5.080000,142.265640,691.297729,-24
power_sample,76,W2_wifi_idle_quiet_ctrl_v1,9780425,5.053750,5.075000,64.586258,327.328247,-24
power_sample,77,W2_wifi_idle_quiet_ctrl_v1,9880447,5.048750,5.615000,64.390839,324.885498,-24
power_sample,78,W2_wifi_idle_quiet_ctrl_v1,9980499,5.050000,6.480000,63.902290,324.885498,-24
power_sample,79,W2_wifi_idle_quiet_ctrl_v1,10080408,5.050000,5.075000,64.683968,327.328247,-24
power_sample,80,W2_wifi_idle_quiet_ctrl_v1,10180483,5.048750,5.302500,64.293121,324.885498,-23
power_sample,81,W2_wifi_idle_quiet_ctrl_v1,10280461,5.050000,6.097500,64.097710,307.786255,-23
power_sample,82,W2_wifi_idle_quiet_ctrl_v1,10380447,5.050000,5.155000,64.781670,327.328247,-24
power_sample,83,W2_wifi_idle_quiet_ctrl_v1,10480423,5.050000,5.105000,64.488548,324.885498,-24
power_sample,84,W2_wifi_idle_quiet_ctrl_v1,10580446,5.048750,5.707500,64.097710,324.885498,-24
power_sample,85,W2_wifi_idle_quiet_ctrl_v1,10680464,5.008750,5.172500,144.415253,327.328247,-24
power_sample,86,W2_wifi_idle_quiet_ctrl_v1,10780445,5.050000,5.150000,64.488548,324.885498,-24
power_sample,87,W2_wifi_idle_quiet_ctrl_v1,10880479,5.048750,5.470000,64.195419,324.885498,-24
power_sample,88,W2_wifi_idle_quiet_ctrl_v1,10980418,5.050000,13.407499,63.999996,657.099243,-23
power_sample,89,W2_wifi_idle_quiet_ctrl_v1,11080422,5.051250,4.960000,64.586258,327.328247,-23
power_sample,90,W2_wifi_idle_quiet_ctrl_v1,11180481,5.047500,5.082500,64.293121,324.885498,-24
power_sample,91,W2_wifi_idle_quiet_ctrl_v1,11280461,5.050000,5.967500,64.097710,324.885498,-23
power_sample,92,W2_wifi_idle_quiet_ctrl_v1,11380425,5.050000,5.062500,64.097710,327.328247,-24
power_sample,93,W2_wifi_idle_quiet_ctrl_v1,11480483,5.050000,5.152500,64.390839,324.885498,-23
power_sample,94,W2_wifi_idle_quiet_ctrl_v1,11580446,5.048750,5.735000,64.097710,324.885498,-24
power_sample,95,W2_wifi_idle_quiet_ctrl_v1,11680422,5.037500,6.492500,122.137398,327.328247,-24
power_sample,96,W2_wifi_idle_quiet_ctrl_v1,11780415,5.051250,5.132500,64.488548,327.328247,-24
power_sample,97,W2_wifi_idle_quiet_ctrl_v1,11880450,5.048750,5.405000,64.195419,324.885498,-24
power_sample,98,W2_wifi_idle_quiet_ctrl_v1,11980464,4.887500,14.267500,95.853432,701.068726,-24
power_sample,99,W2_wifi_idle_quiet_ctrl_v1,12080473,5.048750,4.922500,64.879387,327.328247,-24
power_sample,100,W2_wifi_idle_quiet_ctrl_v1,12180454,5.048750,4.965000,64.293121,324.885498,-24
power_sample,101,W2_wifi_idle_quiet_ctrl_v1,12280443,5.050000,5.825000,64.097710,324.885498,-23
power_sample,102,W2_wifi_idle_quiet_ctrl_v1,12380411,5.050000,5.145000,63.902290,327.328247,-24
power_sample,103,W2_wifi_idle_quiet_ctrl_v1,12480412,5.053750,5.050000,64.390839,324.885498,-24
power_sample,104,W2_wifi_idle_quiet_ctrl_v1,12580422,5.048750,5.612500,64.195419,324.885498,-23
power_sample,105,W2_wifi_idle_quiet_ctrl_v1,12680470,5.050000,6.470000,63.999996,327.328247,-24
power_sample,106,W2_wifi_idle_quiet_ctrl_v1,12780426,5.050000,5.092500,64.488548,327.328247,-23
power_sample,107,W2_wifi_idle_quiet_ctrl_v1,12880473,5.050000,5.300000,64.195419,324.885498,-23
power_sample,108,W2_wifi_idle_quiet_ctrl_v1,12980430,4.891250,13.747499,145.783203,676.641235,-23
power_sample,109,W2_wifi_idle_quiet_ctrl_v1,13080478,5.050000,5.067500,64.683968,327.328247,-24
power_sample,110,W2_wifi_idle_quiet_ctrl_v1,13180489,5.048750,4.917500,64.293121,324.885498,-24
power_sample,111,W2_wifi_idle_quiet_ctrl_v1,13280473,5.050000,5.790000,64.097710,324.885498,-24
power_sample,112,W2_wifi_idle_quiet_ctrl_v1,13380425,5.048750,6.485000,63.999996,327.328247,-23
power_sample,113,W2_wifi_idle_quiet_ctrl_v1,13480422,5.052500,5.162500,64.488548,324.885498,-24
power_sample,114,W2_wifi_idle_quiet_ctrl_v1,13580426,5.048750,5.460000,64.293121,324.885498,-24
power_sample,115,W2_wifi_idle_quiet_ctrl_v1,13680485,5.048750,6.430000,63.999996,327.328247,-24
power_sample,116,W2_wifi_idle_quiet_ctrl_v1,13780446,5.051250,5.030000,64.586258,327.328247,-24
power_sample,117,W2_wifi_idle_quiet_ctrl_v1,13880499,5.050000,5.205000,64.293121,324.885498,-24
power_sample,118,W2_wifi_idle_quiet_ctrl_v1,13980459,4.896250,13.445000,142.656479,701.068726,-24
power_sample,119,W2_wifi_idle_quiet_ctrl_v1,14080461,5.050000,5.147500,64.781670,327.328247,-23
power_sample,120,W2_wifi_idle_quiet_ctrl_v1,14180476,5.050000,5.115000,64.195419,324.885498,-24
power_sample,121,W2_wifi_idle_quiet_ctrl_v1,14280497,5.050000,5.702500,64.097710,324.885498,-24
power_sample,122,W2_wifi_idle_quiet_ctrl_v1,14380429,5.050000,6.482500,63.999996,327.328247,-24
power_sample,123,W2_wifi_idle_quiet_ctrl_v1,14480419,5.051250,5.155000,64.390839,324.885498,-24
power_sample,124,W2_wifi_idle_quiet_ctrl_v1,14580445,5.050000,5.430000,64.097710,324.885498,-24
power_sample,125,W2_wifi_idle_quiet_ctrl_v1,14680461,5.048750,6.252500,63.999996,315.114502,-24
power_sample,126,W2_wifi_idle_quiet_ctrl_v1,14780425,5.051250,4.947500,64.879387,327.328247,-24
power_sample,127,W2_wifi_idle_quiet_ctrl_v1,14880479,5.050000,5.062500,64.293121,324.885498,-24
power_sample,128,W2_wifi_idle_quiet_ctrl_v1,14980465,4.970000,5.880000,138.748077,688.854919,-23
power_sample,129,W2_wifi_idle_quiet_ctrl_v1,15080498,5.050000,5.085000,64.879387,327.328247,-23
power_sample,130,W2_wifi_idle_quiet_ctrl_v1,15180489,5.052500,5.145000,64.390839,324.885498,-24
power_sample,131,W2_wifi_idle_quiet_ctrl_v1,15280425,5.050000,10.977500,64.195419,324.885498,-24
power_sample,132,W2_wifi_idle_quiet_ctrl_v1,15380471,5.051250,6.467500,63.999996,327.328247,-23
power_sample,133,W2_wifi_idle_quiet_ctrl_v1,15480442,5.050000,5.070000,64.586258,327.328247,-24
power_sample,134,W2_wifi_idle_quiet_ctrl_v1,15580445,5.050000,5.315000,64.195419,324.885498,-24
