type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270007037,4.971250,13.757500,156.335876,691.297729,-32,0,0,-1
power_sample,2,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270106473,5.025000,13.982500,141.386261,708.396912,-42,1,3270030364,76109
power_sample,3,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270206480,5.210000,5.020000,64.488548,337.099213,-36,1,3270030364,176116
power_sample,4,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270306473,5.191250,5.077500,101.911446,527.633606,-35,1,3270030364,276109
power_sample,5,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270406433,5.216250,5.885000,64.879387,339.541962,-36,1,3270030364,376069
power_sample,6,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270506475,5.210000,5.087500,64.586258,337.099213,-38,1,3270030364,476111
power_sample,7,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270606514,5.125000,12.724999,64.683968,332.213715,-44,1,3270030364,576150
power_sample,8,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270706491,5.220000,5.660000,64.879387,339.541962,-36,1,3270030364,676127
power_sample,9,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270806508,5.190000,6.450000,64.879387,337.099213,-36,1,3270030364,776144
power_sample,10,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3270906475,5.230000,5.122500,64.781670,339.541962,-43,1,3270030364,876111
power_sample,11,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3271006450,5.245000,5.375000,64.977097,339.541962,-36,1,3270030364,976086
power_sample,12,W2_wifi_periodic_10s_quiet_ctrl_v2_rep3,3271106457,5.211250,6.167500,64.977097,324.885498,-44,1,3270030364,1076093
