pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain,pipeline_version
1776405818142030000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,34,periodic,238000103,-35,,,,,,,0,0.3.0
1776405825141929000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,35,periodic,245000053,-29,,,,,,,0,0.3.0
1776405832141973000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,36,periodic,252000067,-30,,,,,,,0,0.3.0
1776405839155791000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,37,periodic,259000079,-29,,,,,,,0,0.3.0
1776405846144498000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,38,periodic,266000079,-30,,,,,,,0,0.3.0
1776405853146405000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,39,periodic,273000031,-36,,,,,,,0,0.3.0
1776405860149637000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,40,periodic,280000026,-29,,,,,,,0,0.3.0
1776405867144557000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,41,periodic,287000026,-29,,,,,,,0,0.3.0
1776405874144801000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,42,periodic,294000080,-30,,,,,,,0,0.3.0
1776405881146478000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,43,periodic,301000097,-36,,,,,,,0,0.3.0
1776405888144446000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,44,periodic,308000009,-29,,,,,,,0,0.3.0
1776405895143287000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,45,periodic,315000053,-29,,,,,,,0,0.3.0
1776405902142700000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,46,periodic,322000019,-36,,,,,,,0,0.3.0
1776405909142976000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,47,periodic,329000019,-35,,,,,,,0,0.3.0
1776405916143125000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,48,periodic,336000044,-30,,,,,,,0,0.3.0
1776405923143154000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,49,periodic,343000009,-28,,,,,,,0,0.3.0
1776405930143500000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,50,periodic,350000068,-35,,,,,,,0,0.3.0
1776405937144880000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,51,periodic,357000009,-29,,,,,,,0,0.3.0
1776405944143365000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,52,periodic,364000009,-35,,,,,,,0,0.3.0
1776405951147801000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,53,periodic,371000009,-36,,,,,,,0,0.3.0
1776405958142812000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,54,periodic,378000092,-36,,,,,,,0,0.3.0
1776405965147963000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,55,periodic,385000073,-29,,,,,,,0,0.3.0
1776405972143752000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,56,periodic,392000034,-29,,,,,,,0,0.3.0
1776405979145459000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,57,periodic,399000044,-30,,,,,,,0,0.3.0
1776405986145488000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,58,periodic,406000034,-28,,,,,,,0,0.3.0
1776405993144445000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,59,periodic,413000049,-36,,,,,,,0,0.3.0
1776406000146040000,iotbench/wifi/wifi01_power/event,event,wifi01_power,wifi,W2_wifi_periodic_7s_telemetry_ctrl_v2,60,periodic,420000080,-29,,,,,,,0,0.3.0
