type,power_seq,exp,t_local_us,bus_v,shunt_mV,current_mA,power_mW,wifi_rssi,last_event_seq,last_event_t_local_us,dt_since_event_us
power_sample,1,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058112077,4.962500,12.809999,157.899231,732.824463,-35,0,0,-1
power_sample,2,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058211510,5.180000,5.157500,64.977097,337.099213,-33,1,1058135413,76097
power_sample,3,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058311461,5.181250,5.162500,64.781670,337.099213,-36,1,1058135413,176048
power_sample,4,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058411479,5.180000,5.750000,64.586258,337.099213,-35,1,1058135413,276066
power_sample,5,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058511488,5.183750,6.507500,64.586258,339.541962,-41,1,1058135413,376075
power_sample,6,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058611499,5.006250,5.582500,136.109924,683.969421,-41,1,1058135413,476086
power_sample,7,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058711506,5.181250,5.340000,64.683968,337.099213,-38,1,1058135413,576093
power_sample,8,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058811461,5.182500,6.075000,64.683968,315.114502,-33,1,1058135413,676048
power_sample,9,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1058911522,5.185000,6.182500,65.074806,339.541962,-34,1,1058135413,776109
power_sample,10,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1059011453,5.183750,5.225000,64.879387,337.099213,-39,1,1058135413,876040
power_sample,11,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1059111472,5.183750,5.757500,64.781670,337.099213,-42,1,1058135413,976059
power_sample,12,W2_wifi_periodic_7s_quiet_ctrl_v2_rep4,1059211513,5.183750,6.517500,64.586258,339.541962,-38,1,1058135413,1076100
