pi_rx_time_ns,address,name,rssi,company_id,version,node_num,exp_code,seq,t_local_us,raw_hex,pi_time_us,raw_delay_ms,norm_delay_ms,pipeline_version
1774627428988613000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,32,124910754,02015731424c20000000a2fc7107,1774627428988613.0,1774627304077.859,44.244384765625,0.1.1
1774627431355253000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,33,127174395,02015731424c21000000fb869407,1774627431355253.0,1774627304180.858,147.243408203125,0.1.1
1774627433478904000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,34,129622175,02015731424c220000009fe0b907,1774627433478904.0,1774627303856.729,-176.885498046875,0.1.1
1774627435583108000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,35,131726368,02015731424c2300000020fcd907,1774627435583108.0,1774627303856.74,-176.87451171875,0.1.1
1774627437688785000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,36,133647749,02015731424c24000000854df707,1774627437688785.0,1774627304041.036,7.42138671875,0.1.1
1774627439775927000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,37,135741246,02015731424c250000003e3f1708,1774627439775927.0,1774627304034.681,1.06640625,0.1.1
1774627441580747000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,38,137725034,02015731424c260000006a843508,1774627441580747.0,1774627303855.713,-177.901611328125,0.1.1
1774627443984612000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,39,139856401,02015731424c27000000110a5608,1774627443984612.0,1774627304128.211,94.596435546875,0.1.1
1774627445502994000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,40,141646259,02015731424c28000000b3597108,1774627445502994.0,1774627303856.735,-176.87939453125,0.1.1
1774627447601272000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-60,4660,2,1,W1BL,41,143745478,02015731424c29000000c6619108,1774627447601272.0,1774627303855.794,-177.820556640625,0.1.1
1774627449704933000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,42,145609879,02015731424c2a00000097d4ad08,1774627449704933.0,1774627304095.054,61.439453125,0.1.1
1774627451775320000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,43,147920589,02015731424c2b000000cd16d108,1774627451775320.0,1774627303854.731,-178.883544921875,0.1.1
1774627454486723000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,44,150357760,02015731424c2c0000000047f608,1774627454486723.0,1774627304128.963,95.348388671875,0.1.1
1774627456264915000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-57,4660,2,1,W1BL,45,152409227,02015731424c2d0000008b941509,1774627456264915.0,1774627303855.688,-177.926513671875,0.1.1
1774627458676505000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,46,154680780,02015731424c2e000000cc3d3809,1774627458676505.0,1774627303995.725,-37.889404296875,0.1.1
1774627461358044000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,47,157320092,02015731424c2f0000009c836009,1774627461358044.0,1774627304037.952,4.33740234375,0.1.1
1774627463796896000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-54,4660,2,1,W1BL,48,159763258,02015731424c300000003acb8509,1774627463796896.0,1774627304033.638,0.0234375,0.1.1
1774627465863773000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,49,161912303,02015731424c31000000ef95a609,1774627465863773.0,1774627303951.47,-82.14453125,0.1.1
1774627467907510000,D1F4B763-C87B-6C19-EA74-0919B445F05A,,-55,4660,2,1,W1BL,50,163961581,02015731424c32000000eddac509,1774627467907510.0,1774627303945.929,-87.685546875,0.1.1
