type,seq,exp,trigger,t_local_us,wifi_rssi
event,1,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1019362512,-35
event,2,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1020351042,-44
event,3,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1021351110,-39
event,4,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1022351069,-44
event,5,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1023351051,-39
event,6,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1024351109,-39
event,7,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1025351090,-41
event,8,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1026351052,-44
event,9,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1027351108,-39
event,10,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1028351066,-44
event,11,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1029351093,-34
event,12,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1030351063,-42
event,13,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1031351105,-39
event,14,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1032351109,-35
event,15,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1033351069,-34
event,16,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1034351070,-36
event,17,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1035351101,-35
event,18,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1036351130,-35
event,19,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1037350697,-43
event,20,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1038350658,-35
event,21,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1039350680,-37
event,22,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1040351094,-36
event,23,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1041351043,-41
event,24,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1042351044,-41
event,25,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1043351117,-34
event,26,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1044351139,-33
event,27,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1045351130,-34
event,28,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1046351056,-42
event,29,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1047351122,-42
event,30,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1048351075,-36
event,31,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1049351097,-44
event,32,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1050351084,-36
event,33,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1051351053,-36
event,34,W2_wifi_periodic_1s_quiet_telemetry_v2_rep3,periodic,1052351114,-44
