pi_rx_time_ns,topic,type,node,protocol,exp,seq,trigger,t_local_us,wifi_rssi,rtt_us,old_state,new_state,ha_time,event_id,ha_context_id,mqtt_retain
1774617744538160000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:24.573628+02:00,01KMQQBN45PEV81GZHSCYBV4EY,01KMQQBN45PEV81GZHSCYBV4EY,0
1774617748610197000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:28.641959+02:00,01KMQQBS2YC4RE9JRKVZ348B74,01KMQQBS2YC4RE9JRKVZ348B74,0
1774617752310398000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:32.321348+02:00,01KMQQBWP8VSCRWRGGM82V4M7J,01KMQQBWP8VSCRWRGGM82V4M7J,0
1774617755937533000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:35.970133+02:00,01KMQQC086833TP8G4QB09YF06,01KMQQC086833TP8G4QB09YF06,0
1774617759628985000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:39.660269+02:00,01KMQQC3VKNS832T2FRAGK039X,01KMQQC3VKNS832T2FRAGK039X,0
1774617763312714000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:43.346236+02:00,01KMQQC7EJ98XXKDJJYQCBJZ3W,01KMQQC7EJ98XXKDJJYQCBJZ3W,0
1774617767123067000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:47.152866+02:00,01KMQQCB5NRSQAJ9E7EZC3GDZX,01KMQQCB5NRSQAJ9E7EZC3GDZX,0
1774617770864252000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:50.895105+02:00,01KMQQCETKT9R5R9DER8W1D1RT,01KMQQCETKT9R5R9DER8W1D1RT,0
1774617774745221000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:22:54.771994+02:00,01KMQQCJKRD3FA34EE15HB7YEG,01KMQQCJKRD3FA34EE15HB7YEG,0
1774617778506056000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:22:58.534123+02:00,01KMQQCP9EXWZ39M77MFYZT2B5,01KMQQCP9EXWZ39M77MFYZT2B5,0
1774617782144971000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:02.177962+02:00,01KMQQCSV7W98S87WE2XDP1C1Q,01KMQQCSV7W98S87WE2XDP1C1Q,0
1774617782995507000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:03.029272+02:00,01KMQQCSV7W98S87WE2XDP1C1Q,01KMQQCSV7W98S87WE2XDP1C1Q,0
1774617785169650000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:05.188194+02:00,01KMQQCSV7W98S87WE2XDP1C1Q,01KMQQCSV7W98S87WE2XDP1C1Q,0
1774617786828097000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,on,off,2026-03-27T15:23:06.782007+02:00,01KMQQCYB3KHS3BGFE0G8BWWDT,01KMQQCYB3KHS3BGFE0G8BWWDT,0
1774617791024885000,iotbench/zigbee/event,event,light.benchmark_device,zigbee,W1_zigbee_near_quiet,0,state_changed,0,,,off,on,2026-03-27T15:23:10.974722+02:00,01KMQQD2E5SK3H013V9ZCB23SD,01KMQQD2E5SK3H013V9ZCB23SD,0
