1774595057769052000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,25,periodic,125000054,-27,,,,
1774595057804407000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,25,,,,67472,,,
1774595062738184000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,26,periodic,130000039,-27,,,,
1774595062773888000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,26,,,,36487,,,
1774595067756785000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,27,periodic,135000090,-28,,,,
1774595067770458000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,27,,,,31437,,,
1774595072744127000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,28,periodic,140000041,-27,,,,
1774595072758559000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,28,,,,18483,,,
1774595077742434000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,29,periodic,145000054,-25,,,,
1774595077753357000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,29,,,,16472,,,
1774595082742026000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,30,periodic,150000063,-34,,,,
1774595082759775000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,30,,,,13491,,,
1774595087739750000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,31,periodic,155000049,-26,,,,
1774595087777642000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,31,,,,35510,,,
1774595092751585000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,32,periodic,160000017,-30,,,,
1774595092851617000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,32,,,,26507,,,
1774595097738175000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,33,periodic,165000063,-29,,,,
1774595097750075000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,33,,,,12464,,,
1774595102739325000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,34,periodic,170000029,-28,,,,
1774595102753717000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,34,,,,15495,,,
1774595107776489000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,35,periodic,175000041,-29,,,,
1774595107788545000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,35,,,,51580,,,
1774595112773393000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,36,periodic,180000090,-29,,,,
1774595112788117000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,36,,,,50434,,,
1774595117738790000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,37,periodic,185000039,-28,,,,
1774595117751274000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,37,,,,12649,,,
1774595122753435000,iotbench/wifi/wifi01/event,event,wifi01,wifi,Validation_Run,38,periodic,190000060,-28,,,,
1774595122764999000,iotbench/wifi/wifi01/rtt,rtt,wifi01,wifi,Validation_Run,38,,,,27464,,,
